metabolites,numerator,denominator,p-value,q-value,FC
phenylacetylcarnitine,CL2355,N2,0.9671,0.8528,0.84
phenylacetylglutamine,CL2355,N2,0.7260,0.7924,0.79
"N,N-dimethyl-pro-pro",CL2355,N2,0.0572,0.7780,0.73
"1,5-anhydroglucitol (1,5-AG)",CL2355,N2,0.1105,0.7780,1.66
glucose,CL2355,N2,0.7612,0.8004,1.19
glucose 6-phosphate,CL2355,N2,0.8913,0.8474,1.18
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CL2355,N2,0.3341,0.7780,0.61
dihydroxyacetone phosphate (DHAP),CL2355,N2,0.2782,0.7780,0.62
2-phosphoglycerate,CL2355,N2,0.9485,0.8528,1.13
3-phosphoglycerate,CL2355,N2,0.9164,0.8523,1.10
phosphoenolpyruvate (PEP),CL2355,N2,0.9849,0.8528,0.95
pyruvate,CL2355,N2,0.0984,0.7780,0.11
lactate,CL2355,N2,0.1336,0.7780,0.64
glycerate,CL2355,N2,0.3779,0.7780,1.20
6-phosphogluconate,CL2355,N2,0.5967,0.7794,0.68
ribose 1-phosphate,CL2355,N2,0.7084,0.7860,0.57
sedoheptulose-7-phosphate,CL2355,N2,0.9395,0.8528,0.98
ribose,CL2355,N2,0.5108,0.7794,0.67
ribitol,CL2355,N2,0.1540,0.7780,0.49
ribonate,CL2355,N2,0.1316,0.7780,0.37
arabitol/xylitol,CL2355,N2,0.9621,0.8528,0.95
arabonate/xylonate,CL2355,N2,0.6733,0.7848,0.42
sedoheptulose,CL2355,N2,0.4800,0.7794,0.74
lyxonate,CL2355,N2,0.4423,0.7780,0.57
maltotetraose,CL2355,N2,0.9360,0.8523,0.85
maltotriose,CL2355,N2,0.9011,0.8518,0.98
maltose,CL2355,N2,0.5558,0.7794,0.68
lactobionate,CL2355,N2,0.6440,0.7837,0.34
trehalose,CL2355,N2,0.8777,0.8381,0.59
trehalose 6-phosphate,CL2355,N2,0.5786,0.7794,2.14
mannitol/sorbitol,CL2355,N2,0.2893,0.7780,0.63
mannose,CL2355,N2,0.8415,0.8276,1.03
galactitol (dulcitol),CL2355,N2,0.5633,0.7794,1.16
UDP-glucose,CL2355,N2,0.0994,0.7780,0.15
UDP-galactose,CL2355,N2,0.1543,0.7780,0.07
UDP-glucuronate,CL2355,N2,0.9770,0.8528,0.98
UDP-N-acetylglucosamine/galactosamine,CL2355,N2,0.4037,0.7780,0.67
deoxythymidine diphosphate-rhamnose,CL2355,N2,0.6684,0.7848,0.72
glucosamine-6-phosphate,CL2355,N2,0.9782,0.8528,1.01
glucuronate,CL2355,N2,0.6876,0.7860,0.98
diacetylchitobiose,CL2355,N2,0.5181,0.7794,0.57
N-acetylglucosamine 6-phosphate,CL2355,N2,0.9220,0.8523,0.98
N-acetyl-glucosamine 1-phosphate,CL2355,N2,0.4505,0.7780,1.20
N-acetylmuramate,CL2355,N2,0.7159,0.7860,0.72
N-acetylglucosaminylasparagine,CL2355,N2,0.3647,0.7780,1.26
erythronate*,CL2355,N2,0.1367,0.7780,0.61
N-acetylglucosamine/N-acetylgalactosamine,CL2355,N2,0.3040,0.7780,0.77
N6-carboxymethyllysine,CL2355,N2,0.1780,0.7780,0.58
citrate,CL2355,N2,0.8762,0.8379,0.68
aconitate [cis or trans],CL2355,N2,0.4884,0.7794,0.26
isocitrate,CL2355,N2,0.7319,0.7924,0.60
alpha-ketoglutarate,CL2355,N2,0.1166,0.7780,0.22
succinylcarnitine (C4-DC),CL2355,N2,0.2396,0.7780,0.68
succinate,CL2355,N2,0.8358,0.8258,0.72
fumarate,CL2355,N2,0.7410,0.7924,0.98
malate,CL2355,N2,0.4822,0.7794,1.21
2-methylcitrate/homocitrate,CL2355,N2,0.8557,0.8289,0.85
phosphate,CL2355,N2,0.7025,0.7860,0.85
acetyl CoA,CL2355,N2,0.5346,0.7794,0.62
butyrate/isobutyrate (4:0),CL2355,N2,0.4433,0.7780,1.66
caprate (10:0),CL2355,N2,0.5965,0.7794,0.74
cis-4-decenoate (10:1n6)*,CL2355,N2,0.7927,0.8071,0.95
10-undecenoate (11:1n1),CL2355,N2,0.1695,0.7780,0.45
laurate (12:0),CL2355,N2,0.7132,0.7860,0.84
5-dodecenoate (12:1n7),CL2355,N2,0.8700,0.8356,1.04
myristate (14:0),CL2355,N2,0.3891,0.7780,1.40
stearate (18:0),CL2355,N2,0.4146,0.7780,1.49
nonadecanoate (19:0),CL2355,N2,0.3234,0.7780,2.09
arachidate (20:0),CL2355,N2,0.3699,0.7780,1.80
behenate (22:0)*,CL2355,N2,0.1385,0.7780,1.27
myristoleate (14:1n5),CL2355,N2,0.4492,0.7780,1.37
palmitoleate (16:1n7),CL2355,N2,0.1112,0.7780,2.27
oleate/vaccenate (18:1),CL2355,N2,0.1014,0.7780,2.25
eicosenoate (20:1),CL2355,N2,0.1490,0.7780,2.22
erucate (22:1n9),CL2355,N2,0.3080,0.7780,1.76
tetradecadienoate (14:2)*,CL2355,N2,0.8600,0.8289,1.02
hexadecatrienoate (16:3n3),CL2355,N2,0.7439,0.7924,1.45
heptadecatrienoate (17:3)*,CL2355,N2,0.1743,0.7780,2.51
stearidonate (18:4n3),CL2355,N2,0.0612,0.7780,2.50
eicosapentaenoate (EPA; 20:5n3),CL2355,N2,0.0828,0.7780,2.45
docosapentaenoate (n3 DPA; 22:5n3),CL2355,N2,0.0702,0.7780,3.14
docosatrienoate (22:3n3),CL2355,N2,0.1902,0.7780,2.41
hexadecadienoate (16:2n6),CL2355,N2,0.1718,0.7780,2.12
linoleate (18:2n6),CL2355,N2,0.1545,0.7780,2.06
linolenate [alpha or gamma; (18:3n3 or 6)],CL2355,N2,0.0859,0.7780,2.66
dihomo-linoleate (20:2n6),CL2355,N2,0.1223,0.7780,2.23
dihomo-linolenate (20:3n3 or n6),CL2355,N2,0.0322,0.7780,2.86
arachidonate (20:4n6),CL2355,N2,0.3716,0.7780,1.17
docosadienoate (22:2n6),CL2355,N2,0.2905,0.7780,1.94
(12 or 13)-methylmyristate (a15:0 or i15:0),CL2355,N2,0.2522,0.7780,1.55
(14 or 15)-methylpalmitate (a17:0 or i17:0),CL2355,N2,0.1573,0.7780,2.01
(16 or 17)-methylstearate (a19:0 or i19:0),CL2355,N2,0.2433,0.7780,2.14
glutarate (C5-DC),CL2355,N2,0.7422,0.7924,0.49
2-hydroxyglutarate,CL2355,N2,0.5173,0.7794,1.42
3-hydroxyadipate,CL2355,N2,0.9996,0.8528,1.00
maleate,CL2355,N2,0.7685,0.8017,0.90
suberate (C8-DC),CL2355,N2,0.3356,0.7780,0.98
azelate (C9-DC),CL2355,N2,0.3672,0.7780,0.74
sebacate (C10-DC),CL2355,N2,0.6116,0.7794,0.80
dodecanedioate (C12-DC),CL2355,N2,0.3523,0.7780,0.69
dodecadienoate (12:2)*,CL2355,N2,0.6352,0.7797,1.05
tetradecanedioate (C14-DC),CL2355,N2,0.1028,0.7780,0.62
hexadecanedioate (C16-DC),CL2355,N2,0.0548,0.7780,0.53
hexadecenedioate (C16:1-DC)*,CL2355,N2,0.1617,0.7780,0.42
octadecanedioate (C18-DC),CL2355,N2,0.7740,0.8061,0.89
octadecenedioate (C18:1-DC),CL2355,N2,0.0339,0.7780,0.41
octadecadienedioate (C18:2-DC)*,CL2355,N2,0.0936,0.7780,0.40
nonadecanedioate (C19-DC),CL2355,N2,0.9682,0.8528,0.87
propionylcarnitine (C3),CL2355,N2,0.3252,0.7780,1.91
methylmalonate (MMA),CL2355,N2,0.4081,0.7780,0.83
acetylcarnitine (C2),CL2355,N2,0.6215,0.7794,1.35
octanoylcarnitine (C8),CL2355,N2,0.1711,0.7780,0.49
"cis-3,4-methyleneheptanoylcarnitine",CL2355,N2,0.3690,0.7780,0.62
pentadecanoylcarnitine (C15)*,CL2355,N2,0.2237,0.7780,0.49
palmitoylcarnitine (C16),CL2355,N2,0.3100,0.7780,0.52
margaroylcarnitine (C17)*,CL2355,N2,0.2240,0.7780,0.52
stearoylcarnitine (C18),CL2355,N2,0.4379,0.7780,0.68
arachidoylcarnitine (C20)*,CL2355,N2,0.5461,0.7794,0.82
behenoylcarnitine (C22)*,CL2355,N2,0.2609,0.7780,0.67
lignoceroylcarnitine (C24)*,CL2355,N2,0.0759,0.7780,0.53
cerotoylcarnitine (C26)*,CL2355,N2,0.4592,0.7780,0.84
3-decenoylcarnitine,CL2355,N2,0.1297,0.7780,0.40
cis-4-decenoylcarnitine (C10:1),CL2355,N2,0.8530,0.8289,0.88
undecenoylcarnitine (C11:1),CL2355,N2,0.2071,0.7780,0.61
5-dodecenoylcarnitine (C12:1),CL2355,N2,0.3028,0.7780,0.51
myristoleoylcarnitine (C14:1)*,CL2355,N2,0.1213,0.7780,0.42
palmitoleoylcarnitine (C16:1)*,CL2355,N2,0.7318,0.7924,0.74
oleoylcarnitine (C18:1),CL2355,N2,0.4492,0.7780,0.48
eicosenoylcarnitine (C20:1)*,CL2355,N2,0.4131,0.7780,0.65
linoleoylcarnitine (C18:2)*,CL2355,N2,0.7349,0.7924,0.65
dihomo-linoleoylcarnitine (C20:2)*,CL2355,N2,0.4458,0.7780,0.48
arachidonoylcarnitine (C20:4),CL2355,N2,0.4389,0.7780,0.41
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CL2355,N2,0.3888,0.7780,0.45
(R)-3-hydroxybutyrylcarnitine,CL2355,N2,0.3009,0.7780,1.57
(S)-3-hydroxybutyrylcarnitine,CL2355,N2,0.6820,0.7860,1.26
3-hydroxyoctanoylcarnitine (1),CL2355,N2,0.6438,0.7837,0.74
3-hydroxydecanoylcarnitine,CL2355,N2,0.5994,0.7794,0.75
3-hydroxyoleoylcarnitine,CL2355,N2,0.3546,0.7780,0.60
deoxycarnitine,CL2355,N2,0.8613,0.8289,0.94
carnitine,CL2355,N2,0.2453,0.7780,0.71
3-hydroxybutyrate (BHBA),CL2355,N2,0.7223,0.7914,1.06
acetylcholine,CL2355,N2,0.1439,0.7780,2.20
myristoylcholine*,CL2355,N2,0.5948,0.7794,0.98
palmitoylcholine,CL2355,N2,0.4024,0.7780,0.66
oleoylcholine,CL2355,N2,0.7827,0.8071,0.79
linoleoylcholine*,CL2355,N2,0.3497,0.7780,0.55
stearoylcholine*,CL2355,N2,0.6025,0.7794,0.66
arachidonoylcholine,CL2355,N2,0.6935,0.7860,1.18
eicosapentaenoylcholine,CL2355,N2,0.9446,0.8528,0.99
4-hydroxybutyrate (GHB),CL2355,N2,0.4242,0.7780,0.54
2-hydroxystearate,CL2355,N2,0.0469,0.7780,2.67
2-hydroxybehenate,CL2355,N2,0.5260,0.7794,1.55
2-hydroxylignocerate*,CL2355,N2,0.0528,0.7780,0.54
3-hydroxyvalerate,CL2355,N2,0.7831,0.8071,1.02
3-hydroxyhexanoate,CL2355,N2,0.6116,0.7794,2.02
3-hydroxyoctanoate,CL2355,N2,0.7916,0.8071,1.03
3-hydroxylaurate,CL2355,N2,0.9910,0.8528,1.05
3-hydroxymyristate,CL2355,N2,0.7162,0.7860,0.85
3-hydroxystearate,CL2355,N2,0.9485,0.8528,1.07
5-hydroxyhexanoate,CL2355,N2,0.8453,0.8276,0.96
8-hydroxyoctanoate,CL2355,N2,0.2926,0.7780,0.68
"12,13-DiHOME",CL2355,N2,0.4243,0.7780,2.18
"9,10-DiHOME",CL2355,N2,0.3017,0.7780,3.07
"2S,3R-dihydroxybutyrate",CL2355,N2,0.5686,0.7794,0.93
"2R,3R-dihydroxybutyrate",CL2355,N2,0.1290,0.7780,0.56
"17,18-DiHETE",CL2355,N2,0.5207,0.7794,1.63
5-HEPE,CL2355,N2,0.7837,0.8071,1.20
oleoyl ethanolamide,CL2355,N2,0.2612,0.7780,0.48
myristoyl ethanolamide,CL2355,N2,0.2401,0.7780,0.68
palmitoyl ethanolamide,CL2355,N2,0.2262,0.7780,0.64
stearoyl ethanolamide,CL2355,N2,0.5096,0.7794,0.74
eicosapentaenoyl ethanolamide,CL2355,N2,0.1219,0.7780,0.50
arachidonoyl ethanolamide,CL2355,N2,0.2418,0.7780,0.53
linoleoyl ethanolamide,CL2355,N2,0.9211,0.8523,1.34
linolenoyl ethanolamide,CL2355,N2,0.1355,0.7780,0.49
palmitoleoyl ethanolamide*,CL2355,N2,0.0716,0.7780,0.49
margaroyl ethanolamide*,CL2355,N2,0.3810,0.7780,0.65
myo-inositol,CL2355,N2,0.4402,0.7780,0.65
chiro-inositol,CL2355,N2,0.7437,0.7924,0.79
choline,CL2355,N2,0.4026,0.7780,0.81
choline phosphate,CL2355,N2,0.7027,0.7860,0.59
cytidine 5'-diphosphocholine,CL2355,N2,0.0809,0.7780,1.61
glycerophosphorylcholine (GPC),CL2355,N2,0.3216,0.7780,1.29
phosphoethanolamine,CL2355,N2,0.0597,0.7780,0.48
cytidine-5'-diphosphoethanolamine,CL2355,N2,0.2738,0.7780,1.14
glycerophosphoethanolamine,CL2355,N2,0.5966,0.7794,1.10
glycerophosphoserine*,CL2355,N2,0.8012,0.8087,0.84
glycerophosphoinositol*,CL2355,N2,0.7403,0.7924,0.56
trimethylamine N-oxide,CL2355,N2,0.4646,0.7780,0.19
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CL2355,N2,0.6320,0.7797,0.81
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CL2355,N2,0.4136,0.7780,0.73
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CL2355,N2,0.9243,0.8523,1.05
"1,2-distearoyl-GPC (18:0/18:0)",CL2355,N2,0.7532,0.7961,1.21
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CL2355,N2,0.6756,0.7848,0.89
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CL2355,N2,0.1269,0.7780,0.70
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),CL2355,N2,0.9273,0.8523,1.09
"1,2-dioleoyl-GPC (18:1/18:1)",CL2355,N2,0.5135,0.7794,0.86
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,CL2355,N2,0.4102,0.7780,0.80
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),CL2355,N2,0.0155,0.7780,0.42
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,CL2355,N2,0.7110,0.7860,0.94
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CL2355,N2,0.3221,0.7780,0.77
"1,2-dipalmitoyl-GPE (16:0/16:0)*",CL2355,N2,0.6523,0.7843,0.74
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,CL2355,N2,0.6333,0.7797,0.86
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),CL2355,N2,0.6353,0.7797,0.81
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,CL2355,N2,0.7784,0.8071,0.95
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,CL2355,N2,0.8439,0.8276,1.05
1-stearoyl-2-oleoyl-GPE (18:0/18:1),CL2355,N2,0.7613,0.8004,0.94
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,CL2355,N2,0.6050,0.7794,0.76
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),CL2355,N2,0.5819,0.7794,1.21
"1,2-dioleoyl-GPE (18:1/18:1)",CL2355,N2,0.6219,0.7794,0.91
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,CL2355,N2,0.2407,0.7780,0.77
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,CL2355,N2,0.4241,0.7780,0.88
"1,2-dilinoleoyl-GPE (18:2/18:2)*",CL2355,N2,0.2684,0.7780,0.72
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),CL2355,N2,0.2529,0.7780,0.80
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),CL2355,N2,0.7669,0.8013,0.75
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,CL2355,N2,0.6509,0.7843,1.13
1-stearoyl-2-oleoyl-GPG (18:0/18:1),CL2355,N2,0.5224,0.7794,0.55
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),CL2355,N2,0.5291,0.7794,1.48
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),CL2355,N2,0.9833,0.8528,0.99
1-palmitoyl-GPC (16:0),CL2355,N2,0.5857,0.7794,0.49
1-palmitoleoyl-GPC (16:1)*,CL2355,N2,0.5133,0.7794,0.33
1-stearoyl-GPC (18:0),CL2355,N2,0.8292,0.8218,0.87
1-oleoyl-GPC (18:1),CL2355,N2,0.6660,0.7848,0.65
1-linoleoyl-GPC (18:2),CL2355,N2,0.4552,0.7780,0.25
1-linolenoyl-GPC (18:3)*,CL2355,N2,0.6699,0.7848,0.24
1-arachidonoyl-GPC (20:4n6)*,CL2355,N2,0.5918,0.7794,0.65
1-lignoceroyl-GPC (24:0),CL2355,N2,0.3143,0.7780,0.42
1-palmitoyl-GPE (16:0),CL2355,N2,0.3961,0.7780,0.73
1-stearoyl-GPE (18:0),CL2355,N2,0.9319,0.8523,0.97
2-stearoyl-GPE (18:0)*,CL2355,N2,0.2049,0.7780,3.05
1-oleoyl-GPE (18:1),CL2355,N2,0.2104,0.7780,1.85
1-linoleoyl-GPE (18:2)*,CL2355,N2,0.9700,0.8528,0.91
1-arachidonoyl-GPE (20:4n6)*,CL2355,N2,0.4493,0.7780,0.54
1-stearoyl-GPS (18:0)*,CL2355,N2,0.1539,0.7780,2.13
1-stearoyl-GPG (18:0),CL2355,N2,0.0293,0.7780,2.55
1-stearoyl-GPI (18:0),CL2355,N2,0.2433,0.7780,1.83
1-oleoyl-GPI (18:1),CL2355,N2,0.8434,0.8276,0.79
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,CL2355,N2,0.2003,0.7780,0.72
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,CL2355,N2,0.3558,0.7780,0.68
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),CL2355,N2,0.0719,0.7780,0.69
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,CL2355,N2,0.0770,0.7780,0.67
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,CL2355,N2,0.5119,0.7794,0.85
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,CL2355,N2,0.0984,0.7780,2.03
1-(1-enyl-oleoyl)-GPE (P-18:1)*,CL2355,N2,0.4383,0.7780,0.75
1-(1-enyl-stearoyl)-GPE (P-18:0)*,CL2355,N2,0.1349,0.7780,0.61
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,CL2355,N2,0.2909,0.7780,0.74
glycerol,CL2355,N2,0.5453,0.7794,0.71
glycerol 3-phosphate,CL2355,N2,0.4126,0.7780,0.79
glycerophosphoglycerol,CL2355,N2,0.6167,0.7794,1.21
1-myristoylglycerol (14:0),CL2355,N2,0.3043,0.7780,2.32
1-pentadecanoylglycerol (15:0),CL2355,N2,0.4122,0.7780,1.63
1-palmitoylglycerol (16:0),CL2355,N2,0.3673,0.7780,0.30
1-palmitoleoylglycerol (16:1)*,CL2355,N2,0.1699,0.7780,2.16
1-margaroylglycerol (17:0),CL2355,N2,0.1097,0.7780,2.60
1-oleoylglycerol (18:1),CL2355,N2,0.5393,0.7794,2.19
1-linoleoylglycerol (18:2),CL2355,N2,0.3392,0.7780,1.74
1-linolenoylglycerol (18:3),CL2355,N2,0.5714,0.7794,1.31
1-dihomo-linolenylglycerol (20:3),CL2355,N2,0.1049,0.7780,2.76
1-arachidonylglycerol (20:4),CL2355,N2,0.2574,0.7780,3.03
1-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.3194,0.7780,2.32
2-palmitoleoylglycerol (16:1)*,CL2355,N2,0.3702,0.7780,1.48
2-oleoylglycerol (18:1),CL2355,N2,0.9084,0.8523,1.50
2-linoleoylglycerol (18:2),CL2355,N2,0.5047,0.7794,1.35
2-arachidonoylglycerol (20:4),CL2355,N2,0.3060,0.7780,1.93
2-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.3678,0.7780,1.82
1-heptadecenoylglycerol (17:1)*,CL2355,N2,0.2557,0.7780,2.29
2-heptadecenoylglycerol (17:1)*,CL2355,N2,0.4953,0.7794,1.74
1-dihomo-linoleoylglycerol (20:2),CL2355,N2,0.3209,0.7780,1.87
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],CL2355,N2,0.1649,0.7780,0.54
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,CL2355,N2,0.7059,0.7860,1.25
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,CL2355,N2,0.7945,0.8071,1.04
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,CL2355,N2,0.4657,0.7780,0.52
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,CL2355,N2,0.9233,0.8523,0.52
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,CL2355,N2,0.6908,0.7860,0.73
sphinganine,CL2355,N2,0.4169,0.7780,0.95
phytosphingosine,CL2355,N2,0.5145,0.7794,0.76
hexadecasphinganine (d16:0)*,CL2355,N2,0.6606,0.7848,0.93
1-deoxysphinganine (m18:0),CL2355,N2,0.6553,0.7848,0.75
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",CL2355,N2,0.7421,0.7924,0.72
heptadecasphingosine (d17:1),CL2355,N2,0.7666,0.8013,0.92
3-hydroxy-3-methylglutarate,CL2355,N2,0.2403,0.7780,0.36
7-dehydrocholesterol,CL2355,N2,0.4872,0.7794,0.66
4-cholesten-3-one,CL2355,N2,0.4361,0.7780,0.34
cholate,CL2355,N2,0.3876,0.7780,0.37
glycocholate,CL2355,N2,0.5394,0.7794,0.35
taurocholate,CL2355,N2,0.5514,0.7794,0.38
deoxycholate,CL2355,N2,0.2720,0.7780,0.35
glycodeoxycholate,CL2355,N2,0.3976,0.7780,0.32
taurodeoxycholate,CL2355,N2,0.2630,0.7780,0.30
inosine 5'-monophosphate (IMP),CL2355,N2,0.4797,0.7794,1.65
inosine,CL2355,N2,0.4663,0.7780,0.75
hypoxanthine,CL2355,N2,0.3935,0.7780,0.57
xanthine,CL2355,N2,0.3743,0.7780,0.69
xanthosine,CL2355,N2,0.2460,0.7780,0.31
2'-deoxyinosine,CL2355,N2,0.2735,0.7780,0.45
urate,CL2355,N2,0.5482,0.7794,0.87
uric acid ribonucleoside*,CL2355,N2,0.2712,0.7780,0.59
allantoin,CL2355,N2,0.5891,0.7794,0.73
allantoic acid,CL2355,N2,0.5188,0.7794,0.38
adenosine 5'-monophosphate (AMP),CL2355,N2,0.0984,0.7780,1.71
adenosine 3'-monophosphate (3'-AMP),CL2355,N2,0.8282,0.8218,1.03
adenosine 2'-monophosphate (2'-AMP),CL2355,N2,0.4883,0.7794,0.98
"adenosine 3',5'-cyclic monophosphate (cAMP)",CL2355,N2,0.9714,0.8528,0.95
"adenosine-2',3'-cyclic monophosphate",CL2355,N2,0.9210,0.8523,0.86
"adenosine 3',5'-diphosphate",CL2355,N2,0.9415,0.8528,1.08
adenylosuccinate,CL2355,N2,0.0289,0.7780,1.94
adenosine,CL2355,N2,0.6167,0.7794,1.15
adenine,CL2355,N2,0.7912,0.8071,0.87
1-methyladenine,CL2355,N2,0.3669,0.7780,0.71
N1-methyladenosine,CL2355,N2,0.1730,0.7780,0.38
N6-methyladenosine,CL2355,N2,0.2363,0.7780,0.46
isopentenyl adenosine,CL2355,N2,0.2791,0.7780,0.41
N6-carbamoylthreonyladenosine,CL2355,N2,0.1823,0.7780,0.75
2'-deoxyadenosine 5'-monophosphate,CL2355,N2,0.6517,0.7843,1.15
N6-succinyladenosine,CL2355,N2,0.4284,0.7780,1.41
guanosine 5'-diphosphate (GDP),CL2355,N2,0.6509,0.7843,1.07
guanosine 5'-monophosphate (5'-GMP),CL2355,N2,0.1871,0.7780,1.94
guanosine 3'-monophosphate (3'-GMP),CL2355,N2,0.4393,0.7780,1.32
"guanosine-2',3'-cyclic monophosphate",CL2355,N2,0.6775,0.7857,0.61
guanosine,CL2355,N2,0.6920,0.7860,0.95
guanine,CL2355,N2,0.1751,0.7780,0.51
1-methylguanine,CL2355,N2,0.4923,0.7794,0.64
7-methylguanine,CL2355,N2,0.6137,0.7794,0.74
7-methylguanosine,CL2355,N2,0.4925,0.7794,0.49
N1-methylguanosine,CL2355,N2,0.0743,0.7780,0.44
N2-methylguanosine,CL2355,N2,0.0687,0.7780,0.37
"N2,N2-dimethylguanosine",CL2355,N2,0.2302,0.7780,0.16
"N2,N2-dimethylguanine",CL2355,N2,0.2608,0.7780,0.68
8-hydroxyguanine,CL2355,N2,0.4016,0.7780,0.33
2'-deoxyguanosine 5'-monophosphate (dGMP),CL2355,N2,0.5921,0.7794,0.98
2'-deoxyguanosine,CL2355,N2,0.0512,0.7780,0.29
N-carbamoylaspartate,CL2355,N2,0.8268,0.8218,0.78
dihydroorotate,CL2355,N2,0.3865,0.7780,0.39
orotate,CL2355,N2,0.0598,0.7780,0.33
orotidine,CL2355,N2,0.4472,0.7780,0.68
uridine 5'-diphosphate (UDP),CL2355,N2,0.5421,0.7794,0.74
uridine 5'-monophosphate (UMP),CL2355,N2,0.0929,0.7780,1.89
uridine 3'-monophosphate (3'-UMP),CL2355,N2,0.5665,0.7794,1.07
"uridine-2',3'-cyclic monophosphate",CL2355,N2,0.6446,0.7837,1.15
uridine,CL2355,N2,0.7030,0.7860,0.80
uracil,CL2355,N2,0.1211,0.7780,0.37
pseudouridine,CL2355,N2,0.3335,0.7780,0.44
"5,6-dihydrouridine",CL2355,N2,0.6217,0.7794,0.40
2'-O-methyluridine,CL2355,N2,0.6440,0.7837,0.59
5-methyluridine (ribothymidine),CL2355,N2,0.1925,0.7780,0.40
"5,6-dihydrouracil",CL2355,N2,0.8605,0.8289,0.67
2'-deoxyuridine 5'-monophosphate,CL2355,N2,0.3664,0.7780,1.64
2'-deoxyuridine,CL2355,N2,0.5858,0.7794,0.62
3-ureidopropionate,CL2355,N2,0.8754,0.8379,0.41
beta-alanine,CL2355,N2,0.8992,0.8512,0.86
3-(3-amino-3-carboxypropyl)uridine*,CL2355,N2,0.2439,0.7780,0.79
cytidine diphosphate,CL2355,N2,0.7151,0.7860,0.78
cytidine 5'-monophosphate (5'-CMP),CL2355,N2,0.0643,0.7780,1.59
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),CL2355,N2,0.3412,0.7780,1.57
"cytidine 2',3'-cyclic monophosphate",CL2355,N2,0.5713,0.7794,1.37
cytidine,CL2355,N2,0.7498,0.7960,0.72
cytosine,CL2355,N2,0.5933,0.7794,1.34
3-methylcytidine,CL2355,N2,0.1069,0.7780,0.42
5-methylcytidine,CL2355,N2,0.6019,0.7794,0.33
2'-deoxycytidine 5'-monophosphate,CL2355,N2,0.1022,0.7780,1.51
2'-deoxycytidine,CL2355,N2,0.9906,0.8528,0.96
2'-O-methylcytidine,CL2355,N2,0.9271,0.8523,0.48
thymidine 5'-monophosphate,CL2355,N2,0.1594,0.7780,1.41
thymidine,CL2355,N2,0.4377,0.7780,0.48
thymine,CL2355,N2,0.0747,0.7780,0.24
"5,6-dihydrothymine",CL2355,N2,0.4704,0.7794,0.53
3-aminoisobutyrate,CL2355,N2,0.6919,0.7860,0.73
methylphosphate,CL2355,N2,0.9683,0.8528,0.45
(3'-5')-adenylylcytidine,CL2355,N2,0.7626,0.8004,0.69
(3'-5')-adenylylguanosine*,CL2355,N2,1.0000,0.8528,1.00
(3'-5')-adenylyluridine,CL2355,N2,0.8104,0.8151,1.33
(3'-5')-adenylyladenosine*,CL2355,N2,0.9636,0.8528,0.96
