metabolites,numerator,denominator,p-value,q-value,FC
3-hydroxymyristate,CL2355,N2,0.2747,1.0000,0.65
3-hydroxystearate,CL2355,N2,0.6643,1.0000,0.77
5-hydroxyhexanoate,CL2355,N2,0.8983,1.0000,0.93
8-hydroxyoctanoate,CL2355,N2,0.6942,1.0000,1.20
"12,13-DiHOME",CL2355,N2,0.7019,1.0000,0.77
"9,10-DiHOME",CL2355,N2,0.7815,1.0000,0.82
"2S,3R-dihydroxybutyrate",CL2355,N2,0.3184,1.0000,0.56
"2R,3R-dihydroxybutyrate",CL2355,N2,0.7257,1.0000,0.87
"17,18-DiHETE",CL2355,N2,0.5832,1.0000,0.78
5-HEPE,CL2355,N2,0.4106,1.0000,0.61
oleoyl ethanolamide,CL2355,N2,0.7431,1.0000,1.37
myristoyl ethanolamide,CL2355,N2,0.4478,1.0000,1.52
palmitoyl ethanolamide,CL2355,N2,0.1362,1.0000,1.89
stearoyl ethanolamide,CL2355,N2,0.8219,1.0000,0.90
eicosapentaenoyl ethanolamide,CL2355,N2,0.5392,1.0000,1.11
arachidonoyl ethanolamide,CL2355,N2,0.7152,1.0000,1.04
linoleoyl ethanolamide,CL2355,N2,0.8960,1.0000,1.13
linolenoyl ethanolamide,CL2355,N2,0.4297,1.0000,1.30
palmitoleoyl ethanolamide*,CL2355,N2,0.4586,1.0000,1.30
margaroyl ethanolamide*,CL2355,N2,0.8760,1.0000,1.11
myo-inositol,CL2355,N2,0.2290,1.0000,1.85
chiro-inositol,CL2355,N2,0.4006,1.0000,0.79
choline,CL2355,N2,0.8612,1.0000,0.95
choline phosphate,CL2355,N2,0.7225,1.0000,1.86
cytidine 5'-diphosphocholine,CL2355,N2,0.5368,1.0000,1.16
glycerophosphorylcholine (GPC),CL2355,N2,0.0478,1.0000,2.83
phosphoethanolamine,CL2355,N2,0.9815,1.0000,0.96
cytidine-5'-diphosphoethanolamine,CL2355,N2,0.7020,1.0000,0.52
glycerophosphoethanolamine,CL2355,N2,0.0611,1.0000,4.36
glycerophosphoserine*,CL2355,N2,0.6959,1.0000,1.15
glycerophosphoinositol*,CL2355,N2,0.4782,1.0000,0.54
trimethylamine N-oxide,CL2355,N2,0.6386,1.0000,1.08
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CL2355,N2,0.4358,1.0000,1.24
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CL2355,N2,0.1714,1.0000,0.65
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CL2355,N2,0.8997,1.0000,0.89
"1,2-distearoyl-GPC (18:0/18:0)",CL2355,N2,0.9543,1.0000,1.11
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CL2355,N2,0.7851,1.0000,0.90
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CL2355,N2,0.7722,1.0000,0.93
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),CL2355,N2,0.9740,1.0000,1.01
"1,2-dioleoyl-GPC (18:1/18:1)",CL2355,N2,0.7252,1.0000,0.89
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,CL2355,N2,0.5433,1.0000,0.81
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),CL2355,N2,0.8048,1.0000,0.97
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,CL2355,N2,0.9591,1.0000,0.92
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CL2355,N2,0.7142,1.0000,0.88
"1,2-dipalmitoyl-GPE (16:0/16:0)*",CL2355,N2,0.1255,1.0000,0.39
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,CL2355,N2,0.8529,1.0000,0.92
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),CL2355,N2,0.2349,1.0000,0.59
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,CL2355,N2,0.9695,1.0000,0.93
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,CL2355,N2,0.1943,1.0000,0.64
1-stearoyl-2-oleoyl-GPE (18:0/18:1),CL2355,N2,0.5865,1.0000,0.80
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,CL2355,N2,0.5916,1.0000,0.70
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),CL2355,N2,0.4606,1.0000,1.17
"1,2-dioleoyl-GPE (18:1/18:1)",CL2355,N2,0.4492,1.0000,0.80
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,CL2355,N2,0.9916,1.0000,1.00
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,CL2355,N2,0.9832,1.0000,1.06
"1,2-dilinoleoyl-GPE (18:2/18:2)*",CL2355,N2,0.6602,1.0000,0.85
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),CL2355,N2,0.6098,1.0000,1.11
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),CL2355,N2,0.2460,1.0000,0.48
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,CL2355,N2,0.1712,1.0000,0.58
1-stearoyl-2-oleoyl-GPG (18:0/18:1),CL2355,N2,0.2519,1.0000,1.74
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),CL2355,N2,0.2602,1.0000,1.37
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),CL2355,N2,0.4657,1.0000,1.24
1-palmitoyl-GPC (16:0),CL2355,N2,0.2536,1.0000,2.29
1-palmitoleoyl-GPC (16:1)*,CL2355,N2,0.2464,1.0000,2.66
1-stearoyl-GPC (18:0),CL2355,N2,0.6109,1.0000,1.41
1-oleoyl-GPC (18:1),CL2355,N2,0.2438,1.0000,2.00
1-linoleoyl-GPC (18:2),CL2355,N2,0.3343,1.0000,3.20
1-linolenoyl-GPC (18:3)*,CL2355,N2,0.2894,1.0000,4.25
1-arachidonoyl-GPC (20:4n6)*,CL2355,N2,0.3940,1.0000,1.52
1-lignoceroyl-GPC (24:0),CL2355,N2,0.8398,1.0000,0.77
1-palmitoyl-GPE (16:0),CL2355,N2,0.5709,1.0000,1.25
1-stearoyl-GPE (18:0),CL2355,N2,0.7962,1.0000,0.91
2-stearoyl-GPE (18:0)*,CL2355,N2,0.8926,1.0000,0.75
1-oleoyl-GPE (18:1),CL2355,N2,0.7100,1.0000,1.05
1-linoleoyl-GPE (18:2)*,CL2355,N2,0.3075,1.0000,2.65
1-arachidonoyl-GPE (20:4n6)*,CL2355,N2,0.4497,1.0000,2.09
1-stearoyl-GPS (18:0)*,CL2355,N2,0.8504,1.0000,1.09
1-stearoyl-GPG (18:0),CL2355,N2,0.8694,1.0000,1.09
1-stearoyl-GPI (18:0),CL2355,N2,0.7029,1.0000,0.80
1-oleoyl-GPI (18:1),CL2355,N2,0.2555,1.0000,3.15
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,CL2355,N2,0.8478,1.0000,0.90
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,CL2355,N2,0.6753,1.0000,0.82
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),CL2355,N2,0.4244,1.0000,0.83
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,CL2355,N2,0.6366,1.0000,0.90
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,CL2355,N2,0.9009,1.0000,0.97
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,CL2355,N2,0.3741,1.0000,0.59
1-(1-enyl-oleoyl)-GPE (P-18:1)*,CL2355,N2,0.8469,1.0000,0.93
1-(1-enyl-stearoyl)-GPE (P-18:0)*,CL2355,N2,0.6177,1.0000,1.11
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,CL2355,N2,0.6976,1.0000,0.88
glycerol,CL2355,N2,0.2927,1.0000,0.75
glycerol 3-phosphate,CL2355,N2,0.7769,1.0000,1.03
glycerophosphoglycerol,CL2355,N2,0.8371,1.0000,1.52
1-myristoylglycerol (14:0),CL2355,N2,0.2530,1.0000,0.60
1-pentadecanoylglycerol (15:0),CL2355,N2,0.2731,1.0000,0.52
1-palmitoylglycerol (16:0),CL2355,N2,0.8877,1.0000,1.25
1-palmitoleoylglycerol (16:1)*,CL2355,N2,0.4815,1.0000,0.90
1-margaroylglycerol (17:0),CL2355,N2,0.1636,1.0000,0.27
1-oleoylglycerol (18:1),CL2355,N2,0.5452,1.0000,0.74
1-linoleoylglycerol (18:2),CL2355,N2,0.5292,1.0000,0.95
1-linolenoylglycerol (18:3),CL2355,N2,0.9093,1.0000,1.42
1-dihomo-linolenylglycerol (20:3),CL2355,N2,0.6282,1.0000,0.90
1-arachidonylglycerol (20:4),CL2355,N2,0.3908,1.0000,0.57
1-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.4852,1.0000,0.64
2-palmitoleoylglycerol (16:1)*,CL2355,N2,0.6077,1.0000,1.10
2-oleoylglycerol (18:1),CL2355,N2,0.4327,1.0000,0.67
2-linoleoylglycerol (18:2),CL2355,N2,0.2797,1.0000,0.91
2-arachidonoylglycerol (20:4),CL2355,N2,0.5091,1.0000,0.85
2-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.3375,1.0000,0.71
1-heptadecenoylglycerol (17:1)*,CL2355,N2,0.2738,1.0000,0.61
2-heptadecenoylglycerol (17:1)*,CL2355,N2,0.3204,1.0000,0.61
1-dihomo-linoleoylglycerol (20:2),CL2355,N2,0.2958,1.0000,0.60
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],CL2355,N2,0.1466,1.0000,1.70
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,CL2355,N2,0.0076,1.0000,3.02
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,CL2355,N2,0.0513,1.0000,2.32
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,CL2355,N2,0.1065,1.0000,2.73
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,CL2355,N2,0.2558,1.0000,2.03
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,CL2355,N2,0.3111,1.0000,2.17
sphinganine,CL2355,N2,0.6558,1.0000,1.04
phytosphingosine,CL2355,N2,0.9623,1.0000,1.02
hexadecasphinganine (d16:0)*,CL2355,N2,0.8987,1.0000,0.83
1-deoxysphinganine (m18:0),CL2355,N2,0.9520,1.0000,1.07
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",CL2355,N2,0.2592,1.0000,1.28
heptadecasphingosine (d17:1),CL2355,N2,0.8632,1.0000,0.92
3-hydroxy-3-methylglutarate,CL2355,N2,0.3717,1.0000,4.86
7-dehydrocholesterol,CL2355,N2,0.4840,1.0000,1.47
4-cholesten-3-one,CL2355,N2,0.6096,1.0000,1.64
cholate,CL2355,N2,0.3847,1.0000,0.48
glycocholate,CL2355,N2,0.6646,1.0000,0.82
taurocholate,CL2355,N2,0.6377,1.0000,0.90
deoxycholate,CL2355,N2,0.6592,1.0000,0.53
glycodeoxycholate,CL2355,N2,0.9190,1.0000,0.80
taurodeoxycholate,CL2355,N2,0.9128,1.0000,0.74
inosine 5'-monophosphate (IMP),CL2355,N2,0.4533,1.0000,0.41
inosine,CL2355,N2,0.4621,1.0000,1.61
hypoxanthine,CL2355,N2,0.6729,1.0000,1.31
xanthine,CL2355,N2,0.9699,1.0000,1.04
xanthosine,CL2355,N2,0.6873,1.0000,1.48
2'-deoxyinosine,CL2355,N2,0.7587,1.0000,1.13
urate,CL2355,N2,0.9006,1.0000,1.07
uric acid ribonucleoside*,CL2355,N2,0.6237,1.0000,0.81
allantoin,CL2355,N2,0.6723,1.0000,1.63
allantoic acid,CL2355,N2,0.9858,1.0000,3.90
adenosine 5'-monophosphate (AMP),CL2355,N2,0.8230,1.0000,0.73
adenosine 3'-monophosphate (3'-AMP),CL2355,N2,0.7697,1.0000,1.30
adenosine 2'-monophosphate (2'-AMP),CL2355,N2,0.3024,1.0000,0.61
"adenosine 3',5'-cyclic monophosphate (cAMP)",CL2355,N2,0.7019,1.0000,1.38
"adenosine-2',3'-cyclic monophosphate",CL2355,N2,0.7782,1.0000,0.67
"adenosine 3',5'-diphosphate",CL2355,N2,0.0974,1.0000,0.55
adenylosuccinate,CL2355,N2,0.8040,1.0000,1.10
adenosine,CL2355,N2,0.8057,1.0000,1.19
adenine,CL2355,N2,0.7199,1.0000,1.25
1-methyladenine,CL2355,N2,0.5964,1.0000,1.16
N1-methyladenosine,CL2355,N2,0.8304,1.0000,1.12
N6-methyladenosine,CL2355,N2,0.7852,1.0000,0.87
isopentenyl adenosine,CL2355,N2,0.7874,1.0000,1.32
N6-carbamoylthreonyladenosine,CL2355,N2,0.3945,1.0000,1.18
2'-deoxyadenosine 5'-monophosphate,CL2355,N2,0.4250,1.0000,0.71
N6-succinyladenosine,CL2355,N2,0.8891,1.0000,1.09
guanosine 5'-diphosphate (GDP),CL2355,N2,0.1471,1.0000,0.34
guanosine 5'-monophosphate (5'-GMP),CL2355,N2,0.5541,1.0000,0.36
guanosine 3'-monophosphate (3'-GMP),CL2355,N2,0.8838,1.0000,0.72
"guanosine-2',3'-cyclic monophosphate",CL2355,N2,0.5822,1.0000,0.64
guanosine,CL2355,N2,0.4954,1.0000,1.39
guanine,CL2355,N2,0.8089,1.0000,1.13
1-methylguanine,CL2355,N2,0.5091,1.0000,1.37
7-methylguanine,CL2355,N2,0.4396,1.0000,1.15
7-methylguanosine,CL2355,N2,0.6341,1.0000,2.66
N1-methylguanosine,CL2355,N2,0.6810,1.0000,0.89
N2-methylguanosine,CL2355,N2,0.8294,1.0000,1.32
"N2,N2-dimethylguanosine",CL2355,N2,0.8255,1.0000,1.84
"N2,N2-dimethylguanine",CL2355,N2,0.6325,1.0000,1.16
8-hydroxyguanine,CL2355,N2,0.5100,1.0000,0.56
2'-deoxyguanosine 5'-monophosphate (dGMP),CL2355,N2,0.0755,1.0000,0.45
2'-deoxyguanosine,CL2355,N2,0.6489,1.0000,0.80
N-carbamoylaspartate,CL2355,N2,0.7280,1.0000,2.00
dihydroorotate,CL2355,N2,0.9983,1.0000,1.05
orotate,CL2355,N2,0.4049,1.0000,0.67
orotidine,CL2355,N2,0.8001,1.0000,0.99
uridine 5'-diphosphate (UDP),CL2355,N2,0.8010,1.0000,1.18
uridine 5'-monophosphate (UMP),CL2355,N2,0.6747,1.0000,0.47
uridine 3'-monophosphate (3'-UMP),CL2355,N2,0.6105,1.0000,1.33
"uridine-2',3'-cyclic monophosphate",CL2355,N2,0.9801,1.0000,0.95
uridine,CL2355,N2,0.3489,1.0000,1.62
uracil,CL2355,N2,0.9723,1.0000,1.10
pseudouridine,CL2355,N2,0.7457,1.0000,0.81
"5,6-dihydrouridine",CL2355,N2,0.9460,1.0000,0.91
2'-O-methyluridine,CL2355,N2,0.9126,1.0000,0.83
5-methyluridine (ribothymidine),CL2355,N2,0.9891,1.0000,1.38
"5,6-dihydrouracil",CL2355,N2,0.4421,1.0000,0.62
2'-deoxyuridine 5'-monophosphate,CL2355,N2,0.9171,1.0000,0.81
2'-deoxyuridine,CL2355,N2,0.5496,1.0000,1.94
3-ureidopropionate,CL2355,N2,0.2848,1.0000,0.35
beta-alanine,CL2355,N2,0.3966,1.0000,0.70
3-(3-amino-3-carboxypropyl)uridine*,CL2355,N2,0.2042,1.0000,1.28
cytidine diphosphate,CL2355,N2,0.6812,1.0000,1.61
cytidine 5'-monophosphate (5'-CMP),CL2355,N2,0.8544,1.0000,0.89
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),CL2355,N2,0.5271,1.0000,1.88
"cytidine 2',3'-cyclic monophosphate",CL2355,N2,0.7571,1.0000,0.92
cytidine,CL2355,N2,0.5406,1.0000,1.97
cytosine,CL2355,N2,0.5538,1.0000,3.69
3-methylcytidine,CL2355,N2,0.8881,1.0000,1.08
5-methylcytidine,CL2355,N2,0.7944,1.0000,3.84
2'-deoxycytidine 5'-monophosphate,CL2355,N2,0.8232,1.0000,0.96
2'-deoxycytidine,CL2355,N2,0.9449,1.0000,0.88
2'-O-methylcytidine,CL2355,N2,0.1456,1.0000,1.63
thymidine 5'-monophosphate,CL2355,N2,0.4127,1.0000,0.81
thymidine,CL2355,N2,0.8231,1.0000,1.26
thymine,CL2355,N2,0.9467,1.0000,0.89
"5,6-dihydrothymine",CL2355,N2,0.8358,1.0000,1.02
3-aminoisobutyrate,CL2355,N2,0.3039,1.0000,0.64
methylphosphate,CL2355,N2,0.7378,1.0000,0.64
(3'-5')-adenylylcytidine,CL2355,N2,0.7670,1.0000,1.38
(3'-5')-adenylylguanosine*,CL2355,N2,0.4642,1.0000,2.39
(3'-5')-adenylyluridine,CL2355,N2,0.8074,1.0000,1.63
(3'-5')-adenylyladenosine*,CL2355,N2,0.6469,1.0000,1.75
(3'-5')-cytidylyladenosine,CL2355,N2,0.7038,1.0000,1.20
(3'-5')-cytidylylcytidine*,CL2355,N2,0.6814,1.0000,1.22
(3'-5')-cytidylylguanosine,CL2355,N2,0.7649,1.0000,1.26
(3'-5')-cytidylyluridine*,CL2355,N2,0.9155,1.0000,1.14
(3'-5')-guanylylcytidine,CL2355,N2,0.7924,1.0000,1.24
(3'-5')-guanylyluridine,CL2355,N2,0.9551,1.0000,1.04
(3'-5')-uridylylcytidine*,CL2355,N2,0.5011,1.0000,0.59
(3'-5')-uridylyluridine,CL2355,N2,0.8622,1.0000,0.86
(3'-5')-uridylyladenosine,CL2355,N2,0.7751,1.0000,1.25
quinolinate,CL2355,N2,0.4076,1.0000,1.29
nicotinate,CL2355,N2,0.8303,1.0000,1.03
nicotinate ribonucleoside,CL2355,N2,0.7224,1.0000,0.69
nicotinic acid mononucleotide (NaMN),CL2355,N2,0.5386,1.0000,0.63
nicotinamide,CL2355,N2,0.8127,1.0000,0.91
nicotinamide ribonucleotide (NMN),CL2355,N2,0.7267,1.0000,0.60
nicotinamide riboside,CL2355,N2,0.9319,1.0000,1.20
nicotinamide adenine dinucleotide (NAD+),CL2355,N2,0.7726,1.0000,0.67
6-hydroxynicotinate,CL2355,N2,0.3239,1.0000,0.55
trigonelline (N'-methylnicotinate),CL2355,N2,0.5366,1.0000,0.68
riboflavin (vitamin B2),CL2355,N2,0.4669,1.0000,1.15
flavin adenine dinucleotide (FAD),CL2355,N2,0.7810,1.0000,0.91
flavin mononucleotide (FMN),CL2355,N2,0.9547,1.0000,1.04
pantoate,CL2355,N2,0.3642,1.0000,0.68
pantothenate,CL2355,N2,0.8189,1.0000,1.05
pantethine,CL2355,N2,0.7103,1.0000,0.85
pantetheine,CL2355,N2,0.5423,1.0000,0.96
phosphopantetheine,CL2355,N2,0.8560,1.0000,1.14
3'-dephosphocoenzyme A,CL2355,N2,0.9589,1.0000,0.87
coenzyme A,CL2355,N2,0.5566,1.0000,0.69
ascorbate (vitamin C),CL2355,N2,0.3610,1.0000,0.15
dehydroascorbate,CL2355,N2,0.3326,1.0000,0.76
threonate,CL2355,N2,0.2967,1.0000,0.74
gulonate*,CL2355,N2,0.4469,1.0000,0.74
biotin,CL2355,N2,0.7893,1.0000,0.93
5-methyltetrahydrofolate (5MeTHF),CL2355,N2,0.2506,1.0000,0.49
biopterin,CL2355,N2,0.4662,1.0000,0.79
dihydrobiopterin,CL2355,N2,0.5438,1.0000,0.76
pterin,CL2355,N2,0.9743,1.0000,0.94
xanthopterin,CL2355,N2,0.7876,1.0000,1.34
protoporphyrin IX,CL2355,N2,0.1753,1.0000,0.51
heme,CL2355,N2,0.9630,1.0000,0.84
biliverdin,CL2355,N2,0.7485,1.0000,0.91
thiamin (vitamin B1),CL2355,N2,0.3807,1.0000,0.66
thiamin monophosphate,CL2355,N2,0.6322,1.0000,1.11
thiamin diphosphate,CL2355,N2,0.8200,1.0000,0.93
carotene diol (1),CL2355,N2,0.8548,1.0000,1.05
pyridoxamine,CL2355,N2,0.5571,1.0000,0.80
pyridoxamine phosphate,CL2355,N2,0.9236,1.0000,1.06
pyridoxal phosphate,CL2355,N2,0.3273,1.0000,0.69
pyridoxal,CL2355,N2,0.4790,1.0000,0.80
pyridoxate,CL2355,N2,0.7498,1.0000,0.92
benzoate,CL2355,N2,0.7744,1.0000,1.10
4-hydroxybenzoate,CL2355,N2,0.9289,1.0000,0.90
catechol,CL2355,N2,0.4614,1.0000,0.67
anthraniloyl-O-glucose,CL2355,N2,0.6922,1.0000,1.11
1-methylxanthine,CL2355,N2,0.7391,1.0000,1.26
2-piperidinone,CL2355,N2,0.4571,1.0000,2.23
3-dehydroshikimate,CL2355,N2,0.5750,1.0000,2.25
"2,3-dihydroxyisovalerate",CL2355,N2,0.5965,1.0000,0.77
dipicolinate,CL2355,N2,1.0000,1.0000,1.00
2-isopropylmalate,CL2355,N2,0.4687,1.0000,0.64
3-formylindole,CL2355,N2,0.5417,1.0000,0.69
3-hydroxyindolin-2-one,CL2355,N2,0.9039,1.0000,0.92
gluconate,CL2355,N2,0.1585,1.0000,0.48
ciliatine (2-aminoethylphosphonate),CL2355,N2,0.5272,1.0000,0.51
ergothioneine,CL2355,N2,0.9340,1.0000,0.83
erythritol,CL2355,N2,0.7341,1.0000,0.80
quinate,CL2355,N2,0.7713,1.0000,1.37
histidine betaine (hercynine)*,CL2355,N2,0.9021,1.0000,1.49
homostachydrine*,CL2355,N2,0.3786,1.0000,0.61
mannonate*,CL2355,N2,0.3642,1.0000,0.69
stachydrine,CL2355,N2,0.3859,1.0000,0.59
ethyl alpha-glucopyranoside,CL2355,N2,1.0000,1.0000,1.00
methyl glucopyranoside (alpha + beta),CL2355,N2,0.4543,1.0000,0.34
harmane,CL2355,N2,0.4735,1.0000,1.26
2-ketogluconate,CL2355,N2,0.2967,1.0000,0.40
"9,10-methylenehexadecanoate**",CL2355,N2,0.4580,1.0000,0.62
2-dimethylaminoethanol,CL2355,N2,0.9340,1.0000,1.01
3-indoleglyoxylic acid,CL2355,N2,0.3970,1.0000,1.49
ethyl beta-glucopyranoside,CL2355,N2,0.6600,1.0000,1.59
pyochelin,CL2355,N2,0.3975,1.0000,0.55
lactobacillic acid,CL2355,N2,0.3575,1.0000,0.56
7-chlorotryptophan,CL2355,N2,0.5751,1.0000,0.83
pyrrolnitrin,CL2355,N2,0.4435,1.0000,0.51
5-fluorouracil,CL2355,N2,0.6060,1.0000,3.54
salicylate,CL2355,N2,0.9993,1.0000,0.98
S-carboxymethyl-cysteine,CL2355,N2,0.7960,1.0000,0.91
sulfate*,CL2355,N2,0.2447,1.0000,0.62
O-sulfo-tyrosine,CL2355,N2,0.9905,1.0000,1.00
ectoine,CL2355,N2,0.5585,1.0000,0.60
glycerol 2-phosphate,CL2355,N2,0.2601,1.0000,0.69
"2,4-di-tert-butylphenol",CL2355,N2,0.5894,1.0000,0.72
thioproline,CL2355,N2,0.9731,1.0000,0.98
glutamine_degradant*,CL2355,N2,0.2818,1.0000,0.62
X-10445,CL2355,N2,0.4352,1.0000,6.01
X-11580,CL2355,N2,0.5013,1.0000,1.73
X-11612,CL2355,N2,0.4364,1.0000,0.64
X-11615,CL2355,N2,0.2325,1.0000,0.37
X-11787,CL2355,N2,0.9969,1.0000,1.19
X-11795,CL2355,N2,0.9857,1.0000,0.79
X-12026,CL2355,N2,0.8640,1.0000,0.94
X-12100,CL2355,N2,0.7624,1.0000,1.06
X-12101,CL2355,N2,0.9349,1.0000,1.06
X-12411,CL2355,N2,0.1655,1.0000,0.73
X-12462,CL2355,N2,0.5744,1.0000,0.79
X-13507,CL2355,N2,0.6572,1.0000,0.46
X-14056,CL2355,N2,0.4297,1.0000,0.65
X-14254,CL2355,N2,0.9467,1.0000,1.14
X-15161,CL2355,N2,0.4961,1.0000,0.58
X-15245,CL2355,N2,0.3371,1.0000,0.35
X-15461,CL2355,N2,0.4298,1.0000,2.05
X-15520,CL2355,N2,0.8094,1.0000,1.02
X-15853,CL2355,N2,0.6385,1.0000,2.06
X-16938,CL2355,N2,0.9275,1.0000,1.01
X-17009,CL2355,N2,0.8816,1.0000,1.00
X-17335,CL2355,N2,0.2567,1.0000,1.32
X-17761,CL2355,N2,0.2061,1.0000,1.68
X-17877,CL2355,N2,0.9197,1.0000,1.12
X-18278,CL2355,N2,1.0000,1.0000,1.00
X-20100,CL2355,N2,0.6904,1.0000,1.92
X-20172,CL2355,N2,0.8196,1.0000,1.43
X-20716,CL2355,N2,0.8839,1.0000,0.85
X-20747,CL2355,N2,0.8536,1.0000,1.59
X-21353,CL2355,N2,0.8440,1.0000,0.90
X-21607,CL2355,N2,0.9587,1.0000,1.13
X-21796,CL2355,N2,0.3730,1.0000,1.38
X-22062,CL2355,N2,0.9819,1.0000,0.97
X-22776,CL2355,N2,0.6186,1.0000,0.65
X-23109,CL2355,N2,0.7440,1.0000,0.79
X-23587,CL2355,N2,0.2734,1.0000,0.55
X-23593,CL2355,N2,0.9060,1.0000,0.86
X-23639,CL2355,N2,0.6117,1.0000,2.76
X-23648,CL2355,N2,0.8427,1.0000,2.32
X-23654,CL2355,N2,0.3941,1.0000,0.55
X-23662,CL2355,N2,0.7911,1.0000,1.45
X-23672,CL2355,N2,0.5703,1.0000,1.07
X-23739,CL2355,N2,0.3781,1.0000,1.76
X-24243,CL2355,N2,0.9543,1.0000,0.82
X-24425,CL2355,N2,0.6187,1.0000,1.34
X-24456,CL2355,N2,0.6753,1.0000,1.13
X-24608,CL2355,N2,0.1879,1.0000,1.52
X-24697,CL2355,N2,0.6504,1.0000,0.71
X-24728,CL2355,N2,0.7038,1.0000,1.43
X-24729,CL2355,N2,0.3902,1.0000,0.35
X-24807,CL2355,N2,0.1913,1.0000,0.56
X-25004,CL2355,N2,0.6954,1.0000,1.25
X-25009,CL2355,N2,0.7124,1.0000,1.18
X-25026,CL2355,N2,0.5865,1.0000,1.30
X-25080,CL2355,N2,0.7912,1.0000,0.77
X-25102,CL2355,N2,0.7154,1.0000,1.17
X-25109,CL2355,N2,0.5187,1.0000,0.73
X-25111,CL2355,N2,0.5699,1.0000,0.69
X-25180,CL2355,N2,0.5463,1.0000,1.30
X-25551,CL2355,N2,0.9306,1.0000,1.14
X-25563,CL2355,N2,0.9921,1.0000,1.08
X-25594,CL2355,N2,0.4240,1.0000,0.71
X-25837,CL2355,N2,0.4971,1.0000,0.85
X-25936,CL2355,N2,0.9444,1.0000,1.09
X-25940,CL2355,N2,0.6584,1.0000,0.85
X-25948,CL2355,N2,0.5553,1.0000,0.85
X-25955,CL2355,N2,0.9405,1.0000,0.92
X-25984,CL2355,N2,0.1776,1.0000,1.94
X-26008,CL2355,N2,0.5806,1.0000,0.69
X-26094,CL2355,N2,0.1257,1.0000,1.87
X-26095,CL2355,N2,0.7643,1.0000,0.65
X-26127,CL2355,N2,0.5672,1.0000,0.72
glycine,GL405,N2,0.0192,0.0877,1.57
N-acetylglycine,GL405,N2,0.9065,0.5171,1.04
sarcosine,GL405,N2,0.0098,0.0634,0.12
dimethylglycine,GL405,N2,0.0033,0.0449,0.01
betaine,GL405,N2,0.2267,0.2655,2.09
betaine aldehyde,GL405,N2,0.8574,0.5007,1.15
serine,GL405,N2,0.0940,0.1829,2.08
N-acetylserine,GL405,N2,0.7658,0.4766,1.08
3-phosphoserine,GL405,N2,0.4590,0.3869,1.19
threonine,GL405,N2,0.6326,0.4357,1.19
N-acetylthreonine,GL405,N2,0.8756,0.5071,1.06
O-acetylhomoserine,GL405,N2,0.5199,0.4083,1.42
homoserine lactone,GL405,N2,0.3590,0.3408,1.49
alanine,GL405,N2,0.2328,0.2673,1.29
N-acetylalanine,GL405,N2,0.1560,0.2227,2.11
aspartate,GL405,N2,0.2140,0.2594,1.82
N-acetylaspartate (NAA),GL405,N2,0.5660,0.4177,1.28
