metabolites,numerator,denominator,p-value,q-value,FC
gamma-glutamylcysteine,CL2355,N2,0.4314,1.0000,1.24
gamma-glutamylglutamate,CL2355,N2,0.9818,1.0000,0.51
gamma-glutamylglutamine,CL2355,N2,0.6033,1.0000,0.50
gamma-glutamylglycine,CL2355,N2,0.5998,1.0000,0.86
gamma-glutamylhistidine,CL2355,N2,0.9669,1.0000,0.54
gamma-glutamylisoleucine*,CL2355,N2,0.3341,1.0000,0.60
gamma-glutamylleucine,CL2355,N2,0.5098,1.0000,0.59
gamma-glutamyl-alpha-lysine,CL2355,N2,0.3464,1.0000,0.79
gamma-glutamylmethionine,CL2355,N2,0.2985,1.0000,0.49
gamma-glutamylphenylalanine,CL2355,N2,0.7592,1.0000,0.23
gamma-glutamylthreonine,CL2355,N2,0.6633,1.0000,0.63
gamma-glutamyltyrosine,CL2355,N2,0.0383,1.0000,3.28
gamma-glutamylvaline,CL2355,N2,0.6052,1.0000,0.40
gamma-glutamylserine,CL2355,N2,0.2751,1.0000,0.61
gamma-glutamylcitrulline*,CL2355,N2,0.7545,1.0000,0.40
leucylhydroxyproline*,CL2355,N2,0.2740,1.0000,9.99
alanylleucine,CL2355,N2,0.2606,1.0000,0.85
cyclo(gly-pro),CL2355,N2,0.6589,1.0000,1.15
glycylisoleucine,CL2355,N2,0.4916,1.0000,0.75
glycylleucine,CL2355,N2,0.2935,1.0000,0.69
glycylvaline,CL2355,N2,0.3522,1.0000,0.82
histidylalanine,CL2355,N2,0.4932,1.0000,1.18
isoleucylglycine,CL2355,N2,0.6204,1.0000,0.78
leucylalanine,CL2355,N2,0.4230,1.0000,0.58
leucylglycine,CL2355,N2,0.2261,1.0000,1.09
lysylleucine,CL2355,N2,0.3436,1.0000,3.32
phenylalanylalanine,CL2355,N2,0.6665,1.0000,0.84
phenylalanylglycine,CL2355,N2,0.8315,1.0000,0.71
phenylalanylhydroxyproline*,CL2355,N2,1.0000,1.0000,1.00
prolylglycine,CL2355,N2,0.8737,1.0000,0.70
threonylphenylalanine,CL2355,N2,0.2829,1.0000,0.77
tyrosylglycine,CL2355,N2,0.7717,1.0000,0.72
valylglutamine,CL2355,N2,0.1319,1.0000,1.60
valylglycine,CL2355,N2,0.5668,1.0000,1.14
valylleucine,CL2355,N2,0.1776,1.0000,0.99
leucylglutamine*,CL2355,N2,0.1801,1.0000,1.07
alanyl-glutamyl-meso-diaminopimelate,CL2355,N2,0.2944,1.0000,0.35
phenylacetylcarnitine,CL2355,N2,0.6694,1.0000,0.73
phenylacetylglutamine,CL2355,N2,0.7682,1.0000,1.05
"N,N-dimethyl-pro-pro",CL2355,N2,0.2535,1.0000,0.85
"1,5-anhydroglucitol (1,5-AG)",CL2355,N2,0.0362,1.0000,2.13
glucose,CL2355,N2,0.0030,0.8713,8.20
glucose 6-phosphate,CL2355,N2,0.9295,1.0000,0.60
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CL2355,N2,0.4971,1.0000,1.34
dihydroxyacetone phosphate (DHAP),CL2355,N2,0.3028,1.0000,0.45
2-phosphoglycerate,CL2355,N2,0.5382,1.0000,0.55
3-phosphoglycerate,CL2355,N2,0.5443,1.0000,0.91
phosphoenolpyruvate (PEP),CL2355,N2,0.5321,1.0000,0.88
pyruvate,CL2355,N2,0.1322,1.0000,0.34
lactate,CL2355,N2,0.5377,1.0000,1.17
glycerate,CL2355,N2,0.4194,1.0000,0.59
6-phosphogluconate,CL2355,N2,0.6613,1.0000,0.98
ribose 1-phosphate,CL2355,N2,0.9167,1.0000,0.60
sedoheptulose-7-phosphate,CL2355,N2,0.7634,1.0000,0.92
ribose,CL2355,N2,0.7778,1.0000,0.97
ribitol,CL2355,N2,0.5998,1.0000,0.75
ribonate,CL2355,N2,0.1853,1.0000,0.03
arabitol/xylitol,CL2355,N2,0.2730,1.0000,0.77
arabonate/xylonate,CL2355,N2,0.6945,1.0000,0.74
sedoheptulose,CL2355,N2,0.6857,1.0000,0.70
lyxonate,CL2355,N2,0.5116,1.0000,0.62
maltotetraose,CL2355,N2,0.6476,1.0000,0.83
maltotriose,CL2355,N2,0.6949,1.0000,1.36
maltose,CL2355,N2,0.1220,1.0000,2.36
lactobionate,CL2355,N2,0.3122,1.0000,0.36
trehalose,CL2355,N2,0.6350,1.0000,0.35
trehalose 6-phosphate,CL2355,N2,1.0000,1.0000,1.00
mannitol/sorbitol,CL2355,N2,0.4482,1.0000,0.87
mannose,CL2355,N2,0.5189,1.0000,1.05
galactitol (dulcitol),CL2355,N2,0.3446,1.0000,0.67
UDP-glucose,CL2355,N2,0.7862,1.0000,0.28
UDP-galactose,CL2355,N2,0.9510,1.0000,0.34
UDP-glucuronate,CL2355,N2,0.2442,1.0000,0.06
UDP-N-acetylglucosamine/galactosamine,CL2355,N2,0.4467,1.0000,0.45
deoxythymidine diphosphate-rhamnose,CL2355,N2,0.8117,1.0000,0.42
glucosamine-6-phosphate,CL2355,N2,0.7366,1.0000,0.61
glucuronate,CL2355,N2,0.2373,1.0000,1.60
diacetylchitobiose,CL2355,N2,0.1392,1.0000,5.08
N-acetylglucosamine 6-phosphate,CL2355,N2,0.7812,1.0000,0.99
N-acetyl-glucosamine 1-phosphate,CL2355,N2,0.0260,1.0000,5.01
N-acetylmuramate,CL2355,N2,0.8616,1.0000,1.09
N-acetylglucosaminylasparagine,CL2355,N2,0.9629,1.0000,1.33
erythronate*,CL2355,N2,0.9581,1.0000,1.00
N-acetylglucosamine/N-acetylgalactosamine,CL2355,N2,0.3158,1.0000,1.30
N6-carboxymethyllysine,CL2355,N2,0.0143,1.0000,2.88
citrate,CL2355,N2,0.6912,1.0000,0.61
aconitate [cis or trans],CL2355,N2,0.7100,1.0000,0.46
isocitrate,CL2355,N2,0.8873,1.0000,0.91
alpha-ketoglutarate,CL2355,N2,0.5503,1.0000,0.61
succinylcarnitine (C4-DC),CL2355,N2,0.3407,1.0000,1.76
succinate,CL2355,N2,0.3906,1.0000,0.67
fumarate,CL2355,N2,0.7745,1.0000,0.48
malate,CL2355,N2,0.1567,1.0000,0.48
2-methylcitrate/homocitrate,CL2355,N2,0.2090,1.0000,0.38
phosphate,CL2355,N2,0.2233,1.0000,0.40
acetyl CoA,CL2355,N2,0.6299,1.0000,0.43
butyrate/isobutyrate (4:0),CL2355,N2,0.1189,1.0000,3.36
caprate (10:0),CL2355,N2,0.3103,1.0000,7.80
cis-4-decenoate (10:1n6)*,CL2355,N2,0.3053,1.0000,0.62
10-undecenoate (11:1n1),CL2355,N2,0.0873,1.0000,0.56
laurate (12:0),CL2355,N2,0.2514,1.0000,0.58
5-dodecenoate (12:1n7),CL2355,N2,0.1508,1.0000,0.50
myristate (14:0),CL2355,N2,0.1437,1.0000,0.49
stearate (18:0),CL2355,N2,0.4327,1.0000,0.58
nonadecanoate (19:0),CL2355,N2,0.8142,1.0000,1.28
arachidate (20:0),CL2355,N2,0.5609,1.0000,0.66
behenate (22:0)*,CL2355,N2,0.3322,1.0000,0.21
myristoleate (14:1n5),CL2355,N2,0.2376,1.0000,0.56
palmitoleate (16:1n7),CL2355,N2,0.5595,1.0000,0.73
oleate/vaccenate (18:1),CL2355,N2,0.5954,1.0000,1.12
eicosenoate (20:1),CL2355,N2,0.8217,1.0000,0.84
erucate (22:1n9),CL2355,N2,0.4360,1.0000,0.48
tetradecadienoate (14:2)*,CL2355,N2,0.7192,1.0000,0.65
hexadecatrienoate (16:3n3),CL2355,N2,0.5858,1.0000,0.51
heptadecatrienoate (17:3)*,CL2355,N2,0.1881,1.0000,2.00
stearidonate (18:4n3),CL2355,N2,0.5792,1.0000,1.08
eicosapentaenoate (EPA; 20:5n3),CL2355,N2,0.1189,1.0000,1.34
docosapentaenoate (n3 DPA; 22:5n3),CL2355,N2,0.1937,1.0000,1.25
docosatrienoate (22:3n3),CL2355,N2,0.2687,1.0000,1.09
hexadecadienoate (16:2n6),CL2355,N2,0.8914,1.0000,0.74
linoleate (18:2n6),CL2355,N2,0.2580,1.0000,1.29
linolenate [alpha or gamma; (18:3n3 or 6)],CL2355,N2,0.2450,1.0000,1.47
dihomo-linoleate (20:2n6),CL2355,N2,0.3768,1.0000,1.56
dihomo-linolenate (20:3n3 or n6),CL2355,N2,0.0967,1.0000,1.61
arachidonate (20:4n6),CL2355,N2,0.3270,1.0000,1.17
docosadienoate (22:2n6),CL2355,N2,0.6255,1.0000,0.60
(12 or 13)-methylmyristate (a15:0 or i15:0),CL2355,N2,0.5356,1.0000,1.48
(14 or 15)-methylpalmitate (a17:0 or i17:0),CL2355,N2,0.6201,1.0000,1.31
(16 or 17)-methylstearate (a19:0 or i19:0),CL2355,N2,0.7709,1.0000,0.64
glutarate (C5-DC),CL2355,N2,0.9313,1.0000,0.20
2-hydroxyglutarate,CL2355,N2,0.8296,1.0000,1.05
3-hydroxyadipate,CL2355,N2,0.2896,1.0000,1.70
maleate,CL2355,N2,0.9025,1.0000,0.84
suberate (C8-DC),CL2355,N2,0.7576,1.0000,1.29
azelate (C9-DC),CL2355,N2,0.3841,1.0000,0.69
sebacate (C10-DC),CL2355,N2,0.4917,1.0000,1.32
dodecanedioate (C12-DC),CL2355,N2,0.0245,1.0000,0.34
dodecadienoate (12:2)*,CL2355,N2,0.4936,1.0000,0.90
tetradecanedioate (C14-DC),CL2355,N2,0.0170,1.0000,0.44
hexadecanedioate (C16-DC),CL2355,N2,0.9471,1.0000,0.77
hexadecenedioate (C16:1-DC)*,CL2355,N2,0.1189,1.0000,0.30
octadecanedioate (C18-DC),CL2355,N2,0.9118,1.0000,0.75
octadecenedioate (C18:1-DC),CL2355,N2,0.9975,1.0000,0.61
octadecadienedioate (C18:2-DC)*,CL2355,N2,0.6016,1.0000,0.79
nonadecanedioate (C19-DC),CL2355,N2,0.3682,1.0000,1.15
propionylcarnitine (C3),CL2355,N2,0.3235,1.0000,0.74
methylmalonate (MMA),CL2355,N2,0.7889,1.0000,0.84
acetylcarnitine (C2),CL2355,N2,0.2947,1.0000,0.58
octanoylcarnitine (C8),CL2355,N2,0.6094,1.0000,1.13
"cis-3,4-methyleneheptanoylcarnitine",CL2355,N2,0.6609,1.0000,1.36
pentadecanoylcarnitine (C15)*,CL2355,N2,0.5090,1.0000,0.81
palmitoylcarnitine (C16),CL2355,N2,0.5555,1.0000,0.52
margaroylcarnitine (C17)*,CL2355,N2,0.6020,1.0000,0.56
stearoylcarnitine (C18),CL2355,N2,0.3995,1.0000,0.50
arachidoylcarnitine (C20)*,CL2355,N2,0.6880,1.0000,0.68
behenoylcarnitine (C22)*,CL2355,N2,0.1997,1.0000,0.55
lignoceroylcarnitine (C24)*,CL2355,N2,0.3584,1.0000,1.20
cerotoylcarnitine (C26)*,CL2355,N2,0.5442,1.0000,0.98
3-decenoylcarnitine,CL2355,N2,0.5906,1.0000,0.79
cis-4-decenoylcarnitine (C10:1),CL2355,N2,0.9163,1.0000,1.38
undecenoylcarnitine (C11:1),CL2355,N2,0.3223,1.0000,1.51
5-dodecenoylcarnitine (C12:1),CL2355,N2,0.4267,1.0000,2.01
myristoleoylcarnitine (C14:1)*,CL2355,N2,0.2477,1.0000,1.09
palmitoleoylcarnitine (C16:1)*,CL2355,N2,0.3702,1.0000,0.94
oleoylcarnitine (C18:1),CL2355,N2,0.3573,1.0000,0.66
eicosenoylcarnitine (C20:1)*,CL2355,N2,0.2441,1.0000,0.47
linoleoylcarnitine (C18:2)*,CL2355,N2,0.3788,1.0000,1.23
dihomo-linoleoylcarnitine (C20:2)*,CL2355,N2,0.7487,1.0000,0.63
arachidonoylcarnitine (C20:4),CL2355,N2,0.5373,1.0000,0.90
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CL2355,N2,0.9522,1.0000,0.90
(R)-3-hydroxybutyrylcarnitine,CL2355,N2,0.9298,1.0000,1.03
(S)-3-hydroxybutyrylcarnitine,CL2355,N2,0.7353,1.0000,0.91
3-hydroxyoctanoylcarnitine (1),CL2355,N2,0.7682,1.0000,1.34
3-hydroxydecanoylcarnitine,CL2355,N2,0.1980,1.0000,1.66
3-hydroxyoleoylcarnitine,CL2355,N2,0.6701,1.0000,0.71
deoxycarnitine,CL2355,N2,0.0522,1.0000,0.71
carnitine,CL2355,N2,0.4524,1.0000,0.79
3-hydroxybutyrate (BHBA),CL2355,N2,0.3091,1.0000,0.53
acetylcholine,CL2355,N2,0.9499,1.0000,1.09
myristoylcholine*,CL2355,N2,0.5465,1.0000,0.55
palmitoylcholine,CL2355,N2,0.3599,1.0000,0.95
oleoylcholine,CL2355,N2,0.4211,1.0000,0.78
linoleoylcholine*,CL2355,N2,0.2485,1.0000,0.92
stearoylcholine*,CL2355,N2,0.2444,1.0000,0.70
arachidonoylcholine,CL2355,N2,0.3034,1.0000,0.85
eicosapentaenoylcholine,CL2355,N2,0.3728,1.0000,0.64
4-hydroxybutyrate (GHB),CL2355,N2,0.8660,1.0000,1.05
2-hydroxystearate,CL2355,N2,0.3069,1.0000,0.50
2-hydroxybehenate,CL2355,N2,0.6494,1.0000,0.71
2-hydroxylignocerate*,CL2355,N2,0.1934,1.0000,0.67
3-hydroxyvalerate,CL2355,N2,0.1889,1.0000,0.48
3-hydroxyhexanoate,CL2355,N2,0.5650,1.0000,0.59
3-hydroxyoctanoate,CL2355,N2,0.6386,1.0000,0.61
3-hydroxylaurate,CL2355,N2,0.6824,1.0000,0.72
3-hydroxymyristate,CL2355,N2,0.3861,1.0000,0.66
3-hydroxystearate,CL2355,N2,0.6283,1.0000,0.37
5-hydroxyhexanoate,CL2355,N2,0.0478,1.0000,0.36
8-hydroxyoctanoate,CL2355,N2,0.9322,1.0000,0.91
"12,13-DiHOME",CL2355,N2,0.6744,1.0000,1.41
"9,10-DiHOME",CL2355,N2,0.6769,1.0000,1.42
"2S,3R-dihydroxybutyrate",CL2355,N2,0.9923,1.0000,0.97
"2R,3R-dihydroxybutyrate",CL2355,N2,0.9865,1.0000,0.88
"17,18-DiHETE",CL2355,N2,0.4288,1.0000,0.51
5-HEPE,CL2355,N2,0.1404,1.0000,1.26
oleoyl ethanolamide,CL2355,N2,0.8179,1.0000,0.58
myristoyl ethanolamide,CL2355,N2,0.0309,1.0000,0.21
palmitoyl ethanolamide,CL2355,N2,0.4337,1.0000,0.53
stearoyl ethanolamide,CL2355,N2,0.3906,1.0000,0.80
eicosapentaenoyl ethanolamide,CL2355,N2,0.6037,1.0000,1.35
arachidonoyl ethanolamide,CL2355,N2,0.4485,1.0000,1.50
linoleoyl ethanolamide,CL2355,N2,0.7266,1.0000,1.07
linolenoyl ethanolamide,CL2355,N2,0.9122,1.0000,0.90
palmitoleoyl ethanolamide*,CL2355,N2,0.6508,1.0000,0.84
margaroyl ethanolamide*,CL2355,N2,0.8480,1.0000,0.93
myo-inositol,CL2355,N2,0.4237,1.0000,0.95
chiro-inositol,CL2355,N2,1.0000,1.0000,1.00
choline,CL2355,N2,0.2258,1.0000,0.64
choline phosphate,CL2355,N2,0.4988,1.0000,1.32
cytidine 5'-diphosphocholine,CL2355,N2,0.8360,1.0000,0.40
glycerophosphorylcholine (GPC),CL2355,N2,0.1909,1.0000,1.79
phosphoethanolamine,CL2355,N2,0.3491,1.0000,0.54
cytidine-5'-diphosphoethanolamine,CL2355,N2,0.1290,1.0000,0.27
glycerophosphoethanolamine,CL2355,N2,0.4309,1.0000,1.95
glycerophosphoserine*,CL2355,N2,0.9547,1.0000,0.85
glycerophosphoinositol*,CL2355,N2,0.7028,1.0000,0.41
trimethylamine N-oxide,CL2355,N2,0.5793,1.0000,0.56
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CL2355,N2,0.1450,1.0000,1.59
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CL2355,N2,0.1198,1.0000,0.41
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CL2355,N2,0.8478,1.0000,1.08
"1,2-distearoyl-GPC (18:0/18:0)",CL2355,N2,0.4571,1.0000,0.73
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CL2355,N2,0.3550,1.0000,1.01
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CL2355,N2,0.0647,1.0000,0.61
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),CL2355,N2,0.8080,1.0000,0.72
"1,2-dioleoyl-GPC (18:1/18:1)",CL2355,N2,0.7274,1.0000,0.84
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,CL2355,N2,0.9980,1.0000,0.76
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),CL2355,N2,0.4565,1.0000,1.37
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,CL2355,N2,0.9045,1.0000,1.06
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CL2355,N2,0.9896,1.0000,0.80
"1,2-dipalmitoyl-GPE (16:0/16:0)*",CL2355,N2,0.2000,1.0000,0.43
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,CL2355,N2,0.8510,1.0000,0.90
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),CL2355,N2,0.0722,1.0000,0.43
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,CL2355,N2,0.0187,1.0000,0.50
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,CL2355,N2,0.3193,1.0000,0.48
1-stearoyl-2-oleoyl-GPE (18:0/18:1),CL2355,N2,0.0932,1.0000,0.39
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,CL2355,N2,0.6260,1.0000,0.70
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),CL2355,N2,0.3967,1.0000,0.87
"1,2-dioleoyl-GPE (18:1/18:1)",CL2355,N2,0.0832,1.0000,0.61
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,CL2355,N2,0.9539,1.0000,0.94
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,CL2355,N2,0.3327,1.0000,0.70
"1,2-dilinoleoyl-GPE (18:2/18:2)*",CL2355,N2,0.8862,1.0000,1.05
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),CL2355,N2,0.8466,1.0000,1.01
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),CL2355,N2,0.0833,1.0000,0.54
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,CL2355,N2,0.1565,1.0000,0.22
1-stearoyl-2-oleoyl-GPG (18:0/18:1),CL2355,N2,0.8271,1.0000,0.90
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),CL2355,N2,0.9395,1.0000,1.03
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),CL2355,N2,0.8845,1.0000,0.97
1-palmitoyl-GPC (16:0),CL2355,N2,0.5312,1.0000,1.13
1-palmitoleoyl-GPC (16:1)*,CL2355,N2,0.3968,1.0000,1.73
1-stearoyl-GPC (18:0),CL2355,N2,0.9859,1.0000,1.17
1-oleoyl-GPC (18:1),CL2355,N2,0.9725,1.0000,0.80
1-linoleoyl-GPC (18:2),CL2355,N2,0.7715,1.0000,1.37
1-linolenoyl-GPC (18:3)*,CL2355,N2,0.4822,1.0000,2.31
1-arachidonoyl-GPC (20:4n6)*,CL2355,N2,0.9085,1.0000,1.02
1-lignoceroyl-GPC (24:0),CL2355,N2,0.7416,1.0000,1.95
1-palmitoyl-GPE (16:0),CL2355,N2,0.0255,1.0000,0.51
1-stearoyl-GPE (18:0),CL2355,N2,0.8185,1.0000,0.67
2-stearoyl-GPE (18:0)*,CL2355,N2,0.9442,1.0000,0.63
1-oleoyl-GPE (18:1),CL2355,N2,0.9085,1.0000,0.85
1-linoleoyl-GPE (18:2)*,CL2355,N2,0.0432,1.0000,8.75
1-arachidonoyl-GPE (20:4n6)*,CL2355,N2,0.9307,1.0000,1.47
1-stearoyl-GPS (18:0)*,CL2355,N2,0.5107,1.0000,1.30
1-stearoyl-GPG (18:0),CL2355,N2,1.0000,1.0000,1.00
1-stearoyl-GPI (18:0),CL2355,N2,0.4871,1.0000,1.37
1-oleoyl-GPI (18:1),CL2355,N2,0.0626,1.0000,5.66
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,CL2355,N2,0.8522,1.0000,1.00
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,CL2355,N2,0.0844,1.0000,1.51
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),CL2355,N2,0.1694,1.0000,0.75
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,CL2355,N2,0.7816,1.0000,1.03
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,CL2355,N2,0.2594,1.0000,0.79
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,CL2355,N2,0.9288,1.0000,1.10
1-(1-enyl-oleoyl)-GPE (P-18:1)*,CL2355,N2,0.5184,1.0000,1.21
1-(1-enyl-stearoyl)-GPE (P-18:0)*,CL2355,N2,0.8189,1.0000,1.05
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,CL2355,N2,0.3212,1.0000,1.42
glycerol,CL2355,N2,0.1526,1.0000,0.43
glycerol 3-phosphate,CL2355,N2,0.7821,1.0000,0.68
glycerophosphoglycerol,CL2355,N2,0.4851,1.0000,0.45
1-myristoylglycerol (14:0),CL2355,N2,0.0254,1.0000,0.11
1-pentadecanoylglycerol (15:0),CL2355,N2,0.5313,1.0000,0.75
1-palmitoylglycerol (16:0),CL2355,N2,0.9248,1.0000,1.97
1-palmitoleoylglycerol (16:1)*,CL2355,N2,0.8505,1.0000,1.31
1-margaroylglycerol (17:0),CL2355,N2,0.2419,1.0000,0.30
1-oleoylglycerol (18:1),CL2355,N2,0.5421,1.0000,0.68
1-linoleoylglycerol (18:2),CL2355,N2,0.5439,1.0000,0.80
1-linolenoylglycerol (18:3),CL2355,N2,0.7133,1.0000,1.78
1-dihomo-linolenylglycerol (20:3),CL2355,N2,0.9156,1.0000,1.15
1-arachidonylglycerol (20:4),CL2355,N2,0.6907,1.0000,0.26
1-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.3919,1.0000,0.27
2-palmitoleoylglycerol (16:1)*,CL2355,N2,0.5559,1.0000,0.61
2-oleoylglycerol (18:1),CL2355,N2,0.6634,1.0000,0.32
2-linoleoylglycerol (18:2),CL2355,N2,0.2620,1.0000,0.37
2-arachidonoylglycerol (20:4),CL2355,N2,0.7903,1.0000,0.47
2-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.1554,1.0000,0.17
1-heptadecenoylglycerol (17:1)*,CL2355,N2,0.4890,1.0000,0.52
2-heptadecenoylglycerol (17:1)*,CL2355,N2,0.5667,1.0000,0.25
1-dihomo-linoleoylglycerol (20:2),CL2355,N2,0.5189,1.0000,0.65
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],CL2355,N2,0.2194,1.0000,2.06
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,CL2355,N2,0.2492,1.0000,2.15
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,CL2355,N2,0.3451,1.0000,1.73
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,CL2355,N2,0.6966,1.0000,1.26
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,CL2355,N2,0.4955,1.0000,3.60
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,CL2355,N2,0.2601,1.0000,2.58
sphinganine,CL2355,N2,0.2592,1.0000,0.71
phytosphingosine,CL2355,N2,0.3387,1.0000,1.39
hexadecasphinganine (d16:0)*,CL2355,N2,0.1228,1.0000,0.29
1-deoxysphinganine (m18:0),CL2355,N2,0.8335,1.0000,0.60
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",CL2355,N2,0.0956,1.0000,8.66
heptadecasphingosine (d17:1),CL2355,N2,0.7462,1.0000,0.69
3-hydroxy-3-methylglutarate,CL2355,N2,0.9830,1.0000,0.77
7-dehydrocholesterol,CL2355,N2,0.1858,1.0000,5.63
4-cholesten-3-one,CL2355,N2,0.6158,1.0000,0.45
cholate,CL2355,N2,0.4713,1.0000,0.89
glycocholate,CL2355,N2,0.3817,1.0000,1.02
taurocholate,CL2355,N2,0.8904,1.0000,1.09
deoxycholate,CL2355,N2,0.5123,1.0000,0.97
glycodeoxycholate,CL2355,N2,0.5463,1.0000,1.72
taurodeoxycholate,CL2355,N2,0.6223,1.0000,1.73
inosine 5'-monophosphate (IMP),CL2355,N2,0.4362,1.0000,0.40
inosine,CL2355,N2,0.8381,1.0000,1.23
hypoxanthine,CL2355,N2,0.8332,1.0000,0.83
xanthine,CL2355,N2,0.3717,1.0000,0.44
xanthosine,CL2355,N2,0.4833,1.0000,1.25
2'-deoxyinosine,CL2355,N2,0.8596,1.0000,1.07
urate,CL2355,N2,0.9446,1.0000,1.23
uric acid ribonucleoside*,CL2355,N2,0.7194,1.0000,1.46
allantoin,CL2355,N2,0.5759,1.0000,0.73
allantoic acid,CL2355,N2,0.7710,1.0000,1.18
adenosine 5'-monophosphate (AMP),CL2355,N2,0.7029,1.0000,0.70
adenosine 3'-monophosphate (3'-AMP),CL2355,N2,0.4142,1.0000,0.17
adenosine 2'-monophosphate (2'-AMP),CL2355,N2,0.4285,1.0000,0.59
"adenosine 3',5'-cyclic monophosphate (cAMP)",CL2355,N2,0.6006,1.0000,0.51
"adenosine-2',3'-cyclic monophosphate",CL2355,N2,0.2358,1.0000,0.46
"adenosine 3',5'-diphosphate",CL2355,N2,0.5573,1.0000,0.75
adenylosuccinate,CL2355,N2,0.8384,1.0000,0.55
adenosine,CL2355,N2,0.3803,1.0000,0.41
adenine,CL2355,N2,0.5054,1.0000,0.67
1-methyladenine,CL2355,N2,0.4094,1.0000,1.28
N1-methyladenosine,CL2355,N2,0.8661,1.0000,1.10
N6-methyladenosine,CL2355,N2,0.3736,1.0000,0.55
isopentenyl adenosine,CL2355,N2,0.0034,0.8713,13.34
N6-carbamoylthreonyladenosine,CL2355,N2,0.7195,1.0000,1.07
2'-deoxyadenosine 5'-monophosphate,CL2355,N2,0.4775,1.0000,0.36
N6-succinyladenosine,CL2355,N2,0.8337,1.0000,0.75
guanosine 5'-diphosphate (GDP),CL2355,N2,0.2654,1.0000,0.19
guanosine 5'-monophosphate (5'-GMP),CL2355,N2,0.4458,1.0000,0.42
guanosine 3'-monophosphate (3'-GMP),CL2355,N2,0.4400,1.0000,0.40
"guanosine-2',3'-cyclic monophosphate",CL2355,N2,0.2189,1.0000,0.58
guanosine,CL2355,N2,0.8547,1.0000,0.93
guanine,CL2355,N2,0.8772,1.0000,0.83
1-methylguanine,CL2355,N2,0.7632,1.0000,1.29
7-methylguanine,CL2355,N2,0.9572,1.0000,0.87
7-methylguanosine,CL2355,N2,0.1337,1.0000,4.08
N1-methylguanosine,CL2355,N2,0.7785,1.0000,0.76
N2-methylguanosine,CL2355,N2,0.9098,1.0000,1.00
"N2,N2-dimethylguanosine",CL2355,N2,0.3693,1.0000,1.39
"N2,N2-dimethylguanine",CL2355,N2,0.9590,1.0000,0.95
8-hydroxyguanine,CL2355,N2,0.2960,1.0000,0.15
2'-deoxyguanosine 5'-monophosphate (dGMP),CL2355,N2,0.1510,1.0000,0.67
2'-deoxyguanosine,CL2355,N2,0.6295,1.0000,0.66
N-carbamoylaspartate,CL2355,N2,0.6680,1.0000,0.33
dihydroorotate,CL2355,N2,0.5132,1.0000,0.69
orotate,CL2355,N2,0.4373,1.0000,0.39
orotidine,CL2355,N2,0.9551,1.0000,0.89
uridine 5'-diphosphate (UDP),CL2355,N2,0.3441,1.0000,0.73
uridine 5'-monophosphate (UMP),CL2355,N2,0.4832,1.0000,0.53
