metabolite,numerator,denominator,p-value,q-value,FC
UDP-glucuronate,CL2355,N2,0.1085,0.8242,0.03
UDP-N-acetylglucosamine/galactosamine,CL2355,N2,0.7939,1.0000,0.69
deoxythymidine diphosphate-rhamnose,CL2355,N2,0.7781,1.0000,0.86
glucosamine-6-phosphate,CL2355,N2,0.9985,1.0000,0.92
glucuronate,CL2355,N2,0.4949,0.9888,1.42
diacetylchitobiose,CL2355,N2,0.4695,0.9888,0.18
N-acetylglucosamine 6-phosphate,CL2355,N2,0.8420,1.0000,0.42
N-acetyl-glucosamine 1-phosphate,CL2355,N2,0.5911,0.9888,0.48
N-acetylmuramate,CL2355,N2,0.7531,1.0000,0.63
N-acetylglucosaminylasparagine,CL2355,N2,0.2246,0.9673,1.66
erythronate*,CL2355,N2,0.9663,1.0000,0.96
N-acetylglucosamine/N-acetylgalactosamine,CL2355,N2,0.4001,0.9888,0.79
N6-carboxymethyllysine,CL2355,N2,0.7671,1.0000,1.13
citrate,CL2355,N2,0.6845,1.0000,0.87
aconitate [cis or trans],CL2355,N2,0.2847,0.9786,0.14
isocitrate,CL2355,N2,0.3422,0.9888,0.24
alpha-ketoglutarate,CL2355,N2,0.1228,0.8769,0.32
succinylcarnitine (C4-DC),CL2355,N2,0.3960,0.9888,1.4
succinate,CL2355,N2,0.7474,1.0000,0.71
fumarate,CL2355,N2,0.9141,1.0000,0.74
malate,CL2355,N2,0.6586,0.9963,1.17
2-methylcitrate/homocitrate,CL2355,N2,0.8331,1.0000,0.98
phosphate,CL2355,N2,0.6286,0.9888,1.22
acetyl CoA,CL2355,N2,0.9461,1.0000,0.96
butyrate/isobutyrate (4:0),CL2355,N2,0.1358,0.8823,2.55
caprate (10:0),CL2355,N2,0.8546,1.0000,1.16
cis-4-decenoate (10:1n6)*,CL2355,N2,0.7226,1.0000,1.44
10-undecenoate (11:1n1),CL2355,N2,0.3876,0.9888,0.68
laurate (12:0),CL2355,N2,0.5382,0.9888,1.33
5-dodecenoate (12:1n7),CL2355,N2,0.5937,0.9888,1.37
myristate (14:0),CL2355,N2,0.1689,0.9189,1.96
stearate (18:0),CL2355,N2,0.2007,0.9384,1.83
nonadecanoate (19:0),CL2355,N2,0.1692,0.9189,2.88
arachidate (20:0),CL2355,N2,0.3694,0.9888,1.59
behenate (22:0)*,CL2355,N2,0.3749,0.9888,0.37
myristoleate (14:1n5),CL2355,N2,0.1767,0.9189,1.98
palmitoleate (16:1n7),CL2355,N2,0.0643,0.7250,2.59
oleate/vaccenate (18:1),CL2355,N2,0.0725,0.7487,2.72
eicosenoate (20:1),CL2355,N2,0.0824,0.7610,3.08
erucate (22:1n9),CL2355,N2,0.3635,0.9888,1.59
tetradecadienoate (14:2)*,CL2355,N2,0.5517,0.9888,1.72
hexadecatrienoate (16:3n3),CL2355,N2,0.2382,0.9673,2.4
heptadecatrienoate (17:3)*,CL2355,N2,0.0467,0.6608,3.49
stearidonate (18:4n3),CL2355,N2,0.0152,0.5062,3.25
eicosapentaenoate (EPA; 20:5n3),CL2355,N2,0.0362,0.6353,3.29
docosapentaenoate (n3 DPA; 22:5n3),CL2355,N2,0.0220,0.6231,4.04
docosatrienoate (22:3n3),CL2355,N2,0.0499,0.6608,3.68
hexadecadienoate (16:2n6),CL2355,N2,0.0661,0.7256,2.69
linoleate (18:2n6),CL2355,N2,0.0338,0.6317,3.38
linolenate [alpha or gamma; (18:3n3 or 6)],CL2355,N2,0.0145,0.5062,4.18
dihomo-linoleate (20:2n6),CL2355,N2,0.0260,0.6231,3.67
dihomo-linolenate (20:3n3 or n6),CL2355,N2,0.0230,0.6231,3.19
arachidonate (20:4n6),CL2355,N2,0.0662,0.7256,1.71
docosadienoate (22:2n6),CL2355,N2,0.0950,0.7673,2.93
(12 or 13)-methylmyristate (a15:0 or i15:0),CL2355,N2,0.1385,0.8823,1.96
(14 or 15)-methylpalmitate (a17:0 or i17:0),CL2355,N2,0.0312,0.6231,2.94
(16 or 17)-methylstearate (a19:0 or i19:0),CL2355,N2,0.1077,0.8242,2.94
glutarate (C5-DC),CL2355,N2,0.3606,0.9888,0.22
2-hydroxyglutarate,CL2355,N2,0.5539,0.9888,1.29
3-hydroxyadipate,CL2355,N2,0.0141,0.5062,3.79
maleate,CL2355,N2,0.9543,1.0000,0.72
suberate (C8-DC),CL2355,N2,0.7569,1.0000,1.04
azelate (C9-DC),CL2355,N2,0.2965,0.9786,0.68
sebacate (C10-DC),CL2355,N2,0.8591,1.0000,1.03
dodecanedioate (C12-DC),CL2355,N2,0.8873,1.0000,1
dodecadienoate (12:2)*,CL2355,N2,0.6368,0.9888,1.26
tetradecanedioate (C14-DC),CL2355,N2,0.4912,0.9888,1.21
hexadecanedioate (C16-DC),CL2355,N2,0.2348,0.9673,1.53
hexadecenedioate (C16:1-DC)*,CL2355,N2,0.6026,0.9888,0.86
octadecanedioate (C18-DC),CL2355,N2,0.2978,0.9786,1.82
octadecenedioate (C18:1-DC),CL2355,N2,0.2746,0.9786,0.64
octadecadienedioate (C18:2-DC)*,CL2355,N2,0.4063,0.9888,0.67
nonadecanedioate (C19-DC),CL2355,N2,0.6187,0.9888,1.39
propionylcarnitine (C3),CL2355,N2,0.3476,0.9888,1.37
methylmalonate (MMA),CL2355,N2,0.1782,0.9189,0.81
acetylcarnitine (C2),CL2355,N2,0.6909,1.0000,0.98
octanoylcarnitine (C8),CL2355,N2,0.9637,1.0000,0.98
"cis-3,4-methyleneheptanoylcarnitine",CL2355,N2,0.2551,0.9786,0.68
pentadecanoylcarnitine (C15)*,CL2355,N2,0.4452,0.9888,0.59
palmitoylcarnitine (C16),CL2355,N2,0.5007,0.9888,0.65
margaroylcarnitine (C17)*,CL2355,N2,0.5248,0.9888,0.62
stearoylcarnitine (C18),CL2355,N2,0.5548,0.9888,0.63
arachidoylcarnitine (C20)*,CL2355,N2,0.7913,1.0000,0.91
behenoylcarnitine (C22)*,CL2355,N2,0.0136,0.5062,0.38
lignoceroylcarnitine (C24)*,CL2355,N2,0.2487,0.9786,0.62
cerotoylcarnitine (C26)*,CL2355,N2,0.2291,0.9673,0.52
3-decenoylcarnitine,CL2355,N2,0.6601,0.9963,0.82
cis-4-decenoylcarnitine (C10:1),CL2355,N2,0.9774,1.0000,0.93
undecenoylcarnitine (C11:1),CL2355,N2,0.7884,1.0000,0.98
5-dodecenoylcarnitine (C12:1),CL2355,N2,0.6926,1.0000,1.25
myristoleoylcarnitine (C14:1)*,CL2355,N2,0.6424,0.9914,0.71
palmitoleoylcarnitine (C16:1)*,CL2355,N2,0.4769,0.9888,0.61
oleoylcarnitine (C18:1),CL2355,N2,0.6701,0.9991,0.63
eicosenoylcarnitine (C20:1)*,CL2355,N2,0.7320,1.0000,0.76
linoleoylcarnitine (C18:2)*,CL2355,N2,0.6517,0.9961,0.67
dihomo-linoleoylcarnitine (C20:2)*,CL2355,N2,0.9329,1.0000,0.84
arachidonoylcarnitine (C20:4),CL2355,N2,0.5457,0.9888,0.56
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CL2355,N2,0.5412,0.9888,0.55
(R)-3-hydroxybutyrylcarnitine,CL2355,N2,0.4492,0.9888,1.43
(S)-3-hydroxybutyrylcarnitine,CL2355,N2,0.7436,1.0000,1.38
3-hydroxyoctanoylcarnitine (1),CL2355,N2,0.7479,1.0000,0.84
3-hydroxydecanoylcarnitine,CL2355,N2,0.9382,1.0000,0.99
3-hydroxyoleoylcarnitine,CL2355,N2,0.3438,0.9888,0.57
deoxycarnitine,CL2355,N2,0.4418,0.9888,0.82
carnitine,CL2355,N2,0.7234,1.0000,0.88
3-hydroxybutyrate (BHBA),CL2355,N2,0.4841,0.9888,0.99
acetylcholine,CL2355,N2,0.1837,0.9211,1.47
myristoylcholine*,CL2355,N2,0.8527,1.0000,0.86
palmitoylcholine,CL2355,N2,0.7915,1.0000,1.12
oleoylcholine,CL2355,N2,0.7144,1.0000,1.23
linoleoylcholine*,CL2355,N2,0.6413,0.9914,1.33
stearoylcholine*,CL2355,N2,0.4974,0.9888,1.38
arachidonoylcholine,CL2355,N2,0.1645,0.9189,1.99
eicosapentaenoylcholine,CL2355,N2,0.4275,0.9888,1.62
4-hydroxybutyrate (GHB),CL2355,N2,0.1045,0.8180,0.29
2-hydroxystearate,CL2355,N2,0.0899,0.7673,2.28
2-hydroxybehenate,CL2355,N2,0.1879,0.9311,1.76
2-hydroxylignocerate*,CL2355,N2,0.2117,0.9626,0.69
3-hydroxyvalerate,CL2355,N2,0.5697,0.9888,1.06
3-hydroxyhexanoate,CL2355,N2,0.1021,0.8069,5.32
3-hydroxyoctanoate,CL2355,N2,0.4039,0.9888,1.35
3-hydroxylaurate,CL2355,N2,0.2894,0.9786,1.7
3-hydroxymyristate,CL2355,N2,0.4799,0.9888,1.2
3-hydroxystearate,CL2355,N2,0.4794,0.9888,1.65
5-hydroxyhexanoate,CL2355,N2,0.0109,0.5062,0.33
8-hydroxyoctanoate,CL2355,N2,0.0186,0.5704,0.31
"12,13-DiHOME",CL2355,N2,0.3829,0.9888,2.07
"9,10-DiHOME",CL2355,N2,0.2999,0.9786,1.82
"2S,3R-dihydroxybutyrate",CL2355,N2,0.9389,1.0000,0.75
"2R,3R-dihydroxybutyrate",CL2355,N2,0.2315,0.9673,0.63
"17,18-DiHETE",CL2355,N2,0.4665,0.9888,1.59
5-HEPE,CL2355,N2,0.7267,1.0000,1.28
oleoyl ethanolamide,CL2355,N2,0.9626,1.0000,0.98
myristoyl ethanolamide,CL2355,N2,0.9540,1.0000,1.07
palmitoyl ethanolamide,CL2355,N2,0.9609,1.0000,0.99
stearoyl ethanolamide,CL2355,N2,0.4096,0.9888,1.45
eicosapentaenoyl ethanolamide,CL2355,N2,0.9513,1.0000,1.17
arachidonoyl ethanolamide,CL2355,N2,0.4494,0.9888,0.7
linoleoyl ethanolamide,CL2355,N2,0.3217,0.9886,2.12
linolenoyl ethanolamide,CL2355,N2,0.5872,0.9888,0.75
palmitoleoyl ethanolamide*,CL2355,N2,0.7169,1.0000,0.89
margaroyl ethanolamide*,CL2355,N2,0.2458,0.9768,1.8
myo-inositol,CL2355,N2,0.1328,0.8823,2.11
chiro-inositol,CL2355,N2,0.9137,1.0000,0.72
choline,CL2355,N2,0.5431,0.9888,1.17
choline phosphate,CL2355,N2,0.7063,1.0000,0.73
cytidine 5'-diphosphocholine,CL2355,N2,0.4434,0.9888,2.41
glycerophosphorylcholine (GPC),CL2355,N2,0.0427,0.6608,2.34
phosphoethanolamine,CL2355,N2,0.0108,0.5062,0.26
cytidine-5'-diphosphoethanolamine,CL2355,N2,0.9999,1.0000,1
glycerophosphoethanolamine,CL2355,N2,0.2073,0.9565,1.79
glycerophosphoserine*,CL2355,N2,0.1895,0.9311,1.68
glycerophosphoinositol*,CL2355,N2,0.7524,1.0000,0.87
trimethylamine N-oxide,CL2355,N2,0.9267,1.0000,1.56
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CL2355,N2,0.4019,0.9888,1.41
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CL2355,N2,0.5740,0.9888,1.3
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CL2355,N2,0.1462,0.8828,1.54
"1,2-distearoyl-GPC (18:0/18:0)",CL2355,N2,0.7708,1.0000,1.12
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CL2355,N2,0.6265,0.9888,1.16
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CL2355,N2,0.1325,0.8823,1.41
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),CL2355,N2,0.3139,0.9786,1.6
"1,2-dioleoyl-GPC (18:1/18:1)",CL2355,N2,0.7782,1.0000,1.08
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,CL2355,N2,0.6266,0.9888,1.18
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),CL2355,N2,0.0075,0.5062,0.34
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,CL2355,N2,0.4698,0.9888,1.43
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CL2355,N2,0.7881,1.0000,1.08
"1,2-dipalmitoyl-GPE (16:0/16:0)*",CL2355,N2,0.9362,1.0000,0.99
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,CL2355,N2,0.5341,0.9888,0.81
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),CL2355,N2,0.9162,1.0000,1.02
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,CL2355,N2,0.2577,0.9786,1.51
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,CL2355,N2,0.5329,0.9888,1.23
1-stearoyl-2-oleoyl-GPE (18:0/18:1),CL2355,N2,0.9925,1.0000,1
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,CL2355,N2,0.8533,1.0000,1.12
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),CL2355,N2,0.0818,0.7610,1.64
"1,2-dioleoyl-GPE (18:1/18:1)",CL2355,N2,0.6599,0.9963,1.11
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,CL2355,N2,0.6345,0.9888,1.17
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,CL2355,N2,0.4153,0.9888,1.39
"1,2-dilinoleoyl-GPE (18:2/18:2)*",CL2355,N2,0.9834,1.0000,0.99
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),CL2355,N2,0.1913,0.9311,1.36
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),CL2355,N2,0.9881,1.0000,0.9
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,CL2355,N2,0.4301,0.9888,0.45
1-stearoyl-2-oleoyl-GPG (18:0/18:1),CL2355,N2,0.0104,0.5062,7.41
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),CL2355,N2,0.0876,0.7634,2.1
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),CL2355,N2,0.5150,0.9888,1.36
1-palmitoyl-GPC (16:0),CL2355,N2,0.9749,1.0000,0.42
1-palmitoleoyl-GPC (16:1)*,CL2355,N2,0.9998,1.0000,0.39
1-stearoyl-GPC (18:0),CL2355,N2,0.3829,0.9888,1.61
1-oleoyl-GPC (18:1),CL2355,N2,0.5792,0.9888,0.96
1-linoleoyl-GPC (18:2),CL2355,N2,0.6734,0.9991,0.7
1-linolenoyl-GPC (18:3)*,CL2355,N2,0.8140,1.0000,0.26
1-arachidonoyl-GPC (20:4n6)*,CL2355,N2,0.1936,0.9311,1.75
1-lignoceroyl-GPC (24:0),CL2355,N2,0.7664,1.0000,1.29
1-palmitoyl-GPE (16:0),CL2355,N2,0.6377,0.9888,1.05
1-stearoyl-GPE (18:0),CL2355,N2,0.5583,0.9888,1.31
2-stearoyl-GPE (18:0)*,CL2355,N2,0.0870,0.7634,5.44
1-oleoyl-GPE (18:1),CL2355,N2,0.1641,0.9189,1.93
1-linoleoyl-GPE (18:2)*,CL2355,N2,0.6262,0.9888,2.02
1-arachidonoyl-GPE (20:4n6)*,CL2355,N2,0.5377,0.9888,1.53
1-stearoyl-GPS (18:0)*,CL2355,N2,0.1014,0.8069,2.28
1-stearoyl-GPG (18:0),CL2355,N2,0.1514,0.9002,2
1-stearoyl-GPI (18:0),CL2355,N2,0.0735,0.7487,2.62
1-oleoyl-GPI (18:1),CL2355,N2,0.6965,1.0000,1.75
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,CL2355,N2,0.6382,0.9888,1.11
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,CL2355,N2,0.6323,0.9888,0.76
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),CL2355,N2,0.7798,1.0000,1.06
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,CL2355,N2,0.9805,1.0000,0.99
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,CL2355,N2,0.0359,0.6353,1.88
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,CL2355,N2,0.5284,0.9888,1.43
1-(1-enyl-oleoyl)-GPE (P-18:1)*,CL2355,N2,0.6646,0.9984,1.22
1-(1-enyl-stearoyl)-GPE (P-18:0)*,CL2355,N2,0.2888,0.9786,1.42
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,CL2355,N2,0.3629,0.9888,1.33
glycerol,CL2355,N2,0.0758,0.7520,0.46
glycerol 3-phosphate,CL2355,N2,0.7114,1.0000,0.62
glycerophosphoglycerol,CL2355,N2,0.3606,0.9888,1.57
1-myristoylglycerol (14:0),CL2355,N2,0.1702,0.9189,3.16
1-pentadecanoylglycerol (15:0),CL2355,N2,0.1458,0.8828,1.77
1-palmitoylglycerol (16:0),CL2355,N2,0.0869,0.7634,4.95
1-palmitoleoylglycerol (16:1)*,CL2355,N2,0.0373,0.6353,4.02
1-margaroylglycerol (17:0),CL2355,N2,0.8747,1.0000,0.75
1-oleoylglycerol (18:1),CL2355,N2,0.0485,0.6608,4.18
1-linoleoylglycerol (18:2),CL2355,N2,0.1262,0.8802,1.75
1-linolenoylglycerol (18:3),CL2355,N2,0.0180,0.5704,3.59
1-dihomo-linolenylglycerol (20:3),CL2355,N2,0.0323,0.6231,2.91
1-arachidonylglycerol (20:4),CL2355,N2,0.0948,0.7673,3.74
1-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.0416,0.6608,6.04
2-palmitoleoylglycerol (16:1)*,CL2355,N2,0.0686,0.7311,2.54
2-oleoylglycerol (18:1),CL2355,N2,0.1614,0.9189,2.78
2-linoleoylglycerol (18:2),CL2355,N2,0.1231,0.8769,2.02
2-arachidonoylglycerol (20:4),CL2355,N2,0.1069,0.8242,3.11
2-eicosapentaenoylglycerol (20:5)*,CL2355,N2,0.0732,0.7487,3.89
1-heptadecenoylglycerol (17:1)*,CL2355,N2,0.0946,0.7673,3.24
2-heptadecenoylglycerol (17:1)*,CL2355,N2,0.3682,0.9888,1.74
1-dihomo-linoleoylglycerol (20:2),CL2355,N2,0.0466,0.6608,3.59
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],CL2355,N2,0.9163,1.0000,1.12
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,CL2355,N2,0.8304,1.0000,0.92
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,CL2355,N2,0.8359,1.0000,0.96
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,CL2355,N2,0.9667,1.0000,1.1
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,CL2355,N2,0.6725,0.9991,1.63
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,CL2355,N2,0.8667,1.0000,1.25
sphinganine,CL2355,N2,0.2977,0.9786,1.27
phytosphingosine,CL2355,N2,0.5410,0.9888,1.32
hexadecasphinganine (d16:0)*,CL2355,N2,0.5174,0.9888,0.67
1-deoxysphinganine (m18:0),CL2355,N2,0.3176,0.9822,1.24
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",CL2355,N2,0.7496,1.0000,0.73
heptadecasphingosine (d17:1),CL2355,N2,0.9473,1.0000,0.96
3-hydroxy-3-methylglutarate,CL2355,N2,0.9835,1.0000,0.4
7-dehydrocholesterol,CL2355,N2,0.4850,0.9888,0.43
4-cholesten-3-one,CL2355,N2,0.8729,1.0000,0.9
cholate,CL2355,N2,0.5287,0.9888,0.55
glycocholate,CL2355,N2,0.7272,1.0000,0.74
taurocholate,CL2355,N2,0.8417,1.0000,0.84
deoxycholate,CL2355,N2,0.5844,0.9888,0.65
glycodeoxycholate,CL2355,N2,0.5316,0.9888,0.45
taurodeoxycholate,CL2355,N2,0.7887,1.0000,0.79
inosine 5'-monophosphate (IMP),CL2355,N2,0.8342,1.0000,0.8
inosine,CL2355,N2,0.8454,1.0000,1.09
hypoxanthine,CL2355,N2,0.5283,0.9888,0.73
xanthine,CL2355,N2,0.9361,1.0000,0.98
xanthosine,CL2355,N2,0.4807,0.9888,0.59
2'-deoxyinosine,CL2355,N2,0.0281,0.6231,0.23
urate,CL2355,N2,0.7953,1.0000,1.13
uric acid ribonucleoside*,CL2355,N2,0.6108,0.9888,0.78
allantoin,CL2355,N2,0.8169,1.0000,1.28
allantoic acid,CL2355,N2,0.8786,1.0000,0.51
adenosine 5'-monophosphate (AMP),CL2355,N2,0.2723,0.9786,2.62
adenosine 3'-monophosphate (3'-AMP),CL2355,N2,0.4456,0.9888,1.54
adenosine 2'-monophosphate (2'-AMP),CL2355,N2,0.8934,1.0000,0.85
"adenosine 3',5'-cyclic monophosphate (cAMP)",CL2355,N2,0.6375,0.9888,1.5
"adenosine-2',3'-cyclic monophosphate",CL2355,N2,0.5239,0.9888,1.75
"adenosine 3',5'-diphosphate",CL2355,N2,0.2289,0.9673,1.76
adenylosuccinate,CL2355,N2,0.4649,0.9888,1.9
adenosine,CL2355,N2,0.8491,1.0000,1
adenine,CL2355,N2,0.9557,1.0000,0.88
1-methyladenine,CL2355,N2,0.0306,0.6231,0.46
N1-methyladenosine,CL2355,N2,0.3863,0.9888,0.57
N6-methyladenosine,CL2355,N2,0.2246,0.9673,0.48
isopentenyl adenosine,CL2355,N2,0.4350,0.9888,0.6
N6-carbamoylthreonyladenosine,CL2355,N2,0.1748,0.9189,0.77
2'-deoxyadenosine 5'-monophosphate,CL2355,N2,0.1837,0.9211,0.24
N6-succinyladenosine,CL2355,N2,0.8639,1.0000,0.95
guanosine 5'-diphosphate (GDP),CL2355,N2,0.2194,0.9653,2.6
guanosine 5'-monophosphate (5'-GMP),CL2355,N2,0.9697,1.0000,1.72
guanosine 3'-monophosphate (3'-GMP),CL2355,N2,0.4148,0.9888,2.1
"guanosine-2',3'-cyclic monophosphate",CL2355,N2,0.3033,0.9786,3.06
guanosine,CL2355,N2,0.3874,0.9888,1.49
guanine,CL2355,N2,0.1454,0.8828,0.51
1-methylguanine,CL2355,N2,0.7506,1.0000,0.78
7-methylguanine,CL2355,N2,0.0092,0.5062,0.28
7-methylguanosine,CL2355,N2,0.9300,1.0000,0.89
N1-methylguanosine,CL2355,N2,0.1414,0.8823,0.51
N2-methylguanosine,CL2355,N2,0.4118,0.9888,0.59
"N2,N2-dimethylguanosine",CL2355,N2,0.3603,0.9888,0.31
"N2,N2-dimethylguanine",CL2355,N2,0.0508,0.6608,0.5
8-hydroxyguanine,CL2355,N2,0.9679,1.0000,1.57
2'-deoxyguanosine 5'-monophosphate (dGMP),CL2355,N2,0.5617,0.9888,0.76
2'-deoxyguanosine,CL2355,N2,0.0135,0.5062,0.28
N-carbamoylaspartate,CL2355,N2,0.9358,1.0000,1.37
dihydroorotate,CL2355,N2,0.7581,1.0000,1.07
orotate,CL2355,N2,0.7340,1.0000,0.8
orotidine,CL2355,N2,0.2153,0.9653,0.51
uridine 5'-diphosphate (UDP),CL2355,N2,0.4297,0.9888,1.48
uridine 5'-monophosphate (UMP),CL2355,N2,0.4682,0.9888,2.13
uridine 3'-monophosphate (3'-UMP),CL2355,N2,0.9278,1.0000,1.18
"uridine-2',3'-cyclic monophosphate",CL2355,N2,0.3058,0.9786,1.69
uridine,CL2355,N2,0.3534,0.9888,1.44
uracil,CL2355,N2,0.5127,0.9888,0.8
pseudouridine,CL2355,N2,0.8468,1.0000,0.84
"5,6-dihydrouridine",CL2355,N2,0.9837,1.0000,0.72
2'-O-methyluridine,CL2355,N2,0.8099,1.0000,0.87
5-methyluridine (ribothymidine),CL2355,N2,0.4751,0.9888,0.64
"5,6-dihydrouracil",CL2355,N2,0.4920,0.9888,0.58
2'-deoxyuridine 5'-monophosphate,CL2355,N2,0.5561,0.9888,0.24
2'-deoxyuridine,CL2355,N2,0.2441,0.9752,0.31
3-ureidopropionate,CL2355,N2,0.3152,0.9786,0.41
beta-alanine,CL2355,N2,0.2411,0.9734,0.61
3-(3-amino-3-carboxypropyl)uridine*,CL2355,N2,0.3724,0.9888,0.84
cytidine diphosphate,CL2355,N2,0.6580,0.9963,1.36
cytidine 5'-monophosphate (5'-CMP),CL2355,N2,0.2865,0.9786,2.62
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),CL2355,N2,0.5562,0.9888,1.32
"cytidine 2',3'-cyclic monophosphate",CL2355,N2,0.2538,0.9786,2.08
cytidine,CL2355,N2,0.9126,1.0000,1.06
cytosine,CL2355,N2,0.8151,1.0000,1.05
3-methylcytidine,CL2355,N2,0.5052,0.9888,0.71
5-methylcytidine,CL2355,N2,0.9612,1.0000,0.9
2'-deoxycytidine 5'-monophosphate,CL2355,N2,0.5605,0.9888,0.45
2'-deoxycytidine,CL2355,N2,0.0603,0.7007,0.33
2'-O-methylcytidine,CL2355,N2,0.2178,0.9653,1.74
thymidine 5'-monophosphate,CL2355,N2,0.7417,1.0000,0.8
thymidine,CL2355,N2,0.1396,0.8823,0.39
thymine,CL2355,N2,0.1287,0.8818,0.3
"5,6-dihydrothymine",CL2355,N2,0.2804,0.9786,0.45
3-aminoisobutyrate,CL2355,N2,0.4089,0.9888,0.7
methylphosphate,CL2355,N2,0.6723,0.9991,0.41
(3'-5')-adenylylcytidine,CL2355,N2,0.2748,0.9786,2.87
(3'-5')-adenylylguanosine*,CL2355,N2,0.7388,1.0000,1.46
(3'-5')-adenylyluridine,CL2355,N2,0.3617,0.9888,3.35
(3'-5')-adenylyladenosine*,CL2355,N2,0.2960,0.9786,2.81
(3'-5')-cytidylyladenosine,CL2355,N2,0.3736,0.9888,2.47
(3'-5')-cytidylylcytidine*,CL2355,N2,0.4003,0.9888,2.41
(3'-5')-cytidylylguanosine,CL2355,N2,1.0000,1.0000,1
(3'-5')-cytidylyluridine*,CL2355,N2,0.6219,0.9888,2.61
(3'-5')-guanylylcytidine,CL2355,N2,1.0000,1.0000,1
(3'-5')-guanylyluridine,CL2355,N2,1.0000,1.0000,1
(3'-5')-uridylylcytidine*,CL2355,N2,0.4659,0.9888,2.54
(3'-5')-uridylyluridine,CL2355,N2,0.5616,0.9888,1.85
(3'-5')-uridylyladenosine,CL2355,N2,0.2880,0.9786,3.64
quinolinate,CL2355,N2,0.6118,0.9888,0.88
nicotinate,CL2355,N2,0.2569,0.9786,1.3
nicotinate ribonucleoside,CL2355,N2,0.3132,0.9786,0.34
nicotinic acid mononucleotide (NaMN),CL2355,N2,0.5976,0.9888,1.31
nicotinamide,CL2355,N2,0.5035,0.9888,1.33
nicotinamide ribonucleotide (NMN),CL2355,N2,0.1967,0.9311,2.2
nicotinamide riboside,CL2355,N2,0.7768,1.0000,0.96
nicotinamide adenine dinucleotide (NAD+),CL2355,N2,0.9941,1.0000,1.04
6-hydroxynicotinate,CL2355,N2,0.4623,0.9888,1.22
trigonelline (N'-methylnicotinate),CL2355,N2,0.6128,0.9888,0.71
riboflavin (vitamin B2),CL2355,N2,0.9484,1.0000,1.04
flavin adenine dinucleotide (FAD),CL2355,N2,0.8909,1.0000,1.03
flavin mononucleotide (FMN),CL2355,N2,0.4575,0.9888,1.22
pantoate,CL2355,N2,0.7163,1.0000,0.96
pantothenate,CL2355,N2,0.8959,1.0000,0.96
pantethine,CL2355,N2,0.3727,0.9888,0.45
pantetheine,CL2355,N2,0.3598,0.9888,0.65
phosphopantetheine,CL2355,N2,0.9075,1.0000,1.01
3'-dephosphocoenzyme A,CL2355,N2,0.4561,0.9888,1.25
coenzyme A,CL2355,N2,0.7216,1.0000,1.13
ascorbate (vitamin C),CL2355,N2,0.9165,1.0000,1.22
dehydroascorbate,CL2355,N2,0.4847,0.9888,0.83
threonate,CL2355,N2,0.4552,0.9888,1.09
gulonate*,CL2355,N2,0.1785,0.9189,0.6
